Purchase{id_porzadkowe_zakupu=7, person=Person{imie='Ilario', nazwisko='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.7}, localization=Localization{country='Poland', city='Wapno'}, dateTime=2020-06-04T00:00}
Purchase{id_porzadkowe_zakupu=212, person=Person{imie='Penn', nazwisko='Latliff', email='platliff5v@icio.us', ip='247.182.252.77'}, car=Car{color='#5ddedd', vin='1G6DZ67A790847851', company='Ford', model='Tempo', model_year='1994', price=28779.9}, localization=Localization{country='Poland', city='Ćmielów'}, dateTime=2020-02-24T00:00}
Purchase{id_porzadkowe_zakupu=227, person=Person{imie='Shannen', nazwisko='Snoddon', email='ssnoddon6a@cnet.com', ip='77.8.213.146'}, car=Car{color='#909262', vin='2B3CJ7DW6AH689798', company='Ford', model='F350', model_year='2011', price=58379.5}, localization=Localization{country='Poland', city='Łobez'}, dateTime=2020-01-22T00:00}
Purchase{id_porzadkowe_zakupu=256, person=Person{imie='Bianca', nazwisko='Casel', email='bcasel73@ftc.gov', ip='187.181.214.88'}, car=Car{color='#b923db', vin='1FMJU1J53AE862361', company='Ford', model='F250', model_year='2008', price=97873.45}, localization=Localization{country='Poland', city='Sośnie'}, dateTime=2020-03-02T00:00}
Purchase{id_porzadkowe_zakupu=265, person=Person{imie='Natalya', nazwisko='Bricksey', email='nbricksey7c@ning.com', ip='74.56.133.163'}, car=Car{color='#7f4c3c', vin='WAUEH98E17A705183', company='Ford', model='F-Series Super Duty', model_year='2010', price=63191.27}, localization=Localization{country='Czech Republic', city='Nové Sedlo'}, dateTime=2020-10-19T00:00}
Purchase{id_porzadkowe_zakupu=273, person=Person{imie='Aube', nazwisko='Francescoccio', email='afrancescoccio7k@prlog.org', ip='22.178.52.163'}, car=Car{color='#3862a7', vin='5NPDH4AE2BH992904', company='Ford', model='E150', model_year='2011', price=89021.13}, localization=Localization{country='Poland', city='Krajenka'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=275, person=Person{imie='Marcello', nazwisko='Jeckells', email='mjeckells7m@harvard.edu', ip='252.185.193.210'}, car=Car{color='#6f3d60', vin='1GD020CG5BF412929', company='Ford', model='Windstar', model_year='1997', price=19569.07}, localization=Localization{country='Poland', city='Zalewo'}, dateTime=2020-04-21T00:00}
Purchase{id_porzadkowe_zakupu=293, person=Person{imie='Cindra', nazwisko='Beamond', email='cbeamond84@boston.com', ip='175.111.94.230'}, car=Car{color='#f5034f', vin='WUALNAFG3EN905239', company='Ford', model='F-Series Super Duty', model_year='2009', price=13314.57}, localization=Localization{country='Poland', city='Skołyszyn'}, dateTime=2020-02-04T00:00}
Purchase{id_porzadkowe_zakupu=299, person=Person{imie='Patty', nazwisko='Forth', email='pforth8a@drupal.org', ip='172.12.7.62'}, car=Car{color='#e6e9eb', vin='1G4PN5SK3C4069415', company='Ford', model='Th!nk', model_year='2000', price=82727.44}, localization=Localization{country='Poland', city='Szczytno'}, dateTime=2020-01-11T00:00}
Purchase{id_porzadkowe_zakupu=312, person=Person{imie='Beaufort', nazwisko='Martino', email='bmartino8n@cocolog-nifty.com', ip='190.191.57.54'}, car=Car{color='#c9d5d5', vin='1D4PT7GX6AW669778', company='Ford', model='Explorer', model_year='2003', price=99482.35}, localization=Localization{country='Czech Republic', city='Žiželice'}, dateTime=2020-06-09T00:00}
Purchase{id_porzadkowe_zakupu=324, person=Person{imie='Else', nazwisko='Fermoy', email='efermoy8z@harvard.edu', ip='112.255.88.204'}, car=Car{color='#dabc1c', vin='3VW1K7AJXCM946040', company='Ford', model='Aerostar', model_year='1996', price=88852.8}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-08-30T00:00}
Purchase{id_porzadkowe_zakupu=325, person=Person{imie='Ermengarde', nazwisko='Andrea', email='eandrea90@admin.ch', ip='243.190.121.218'}, car=Car{color='#a12cc2', vin='JM1GJ1T61F1245135', company='Ford', model='Bronco', model_year='1996', price=2081.42}, localization=Localization{country='Poland', city='Błaszki'}, dateTime=2020-12-21T00:00}
Purchase{id_porzadkowe_zakupu=336, person=Person{imie='Priscilla', nazwisko='Marchetti', email='pmarchetti9b@gizmodo.com', ip='89.39.130.238'}, car=Car{color='#22e8ec', vin='2HNYD28587H084328', company='Ford', model='E150', model_year='2008', price=62890.12}, localization=Localization{country='Czech Republic', city='Frýdlant'}, dateTime=2020-09-26T00:00}
Purchase{id_porzadkowe_zakupu=344, person=Person{imie='Brandy', nazwisko='McGrail', email='bmcgrail9j@macromedia.com', ip='192.242.198.32'}, car=Car{color='#224310', vin='WBAYM1C5XED622526', company='Ford', model='Escort', model_year='1997', price=34041.27}, localization=Localization{country='Poland', city='Mrągowo'}, dateTime=2020-08-01T00:00}
Purchase{id_porzadkowe_zakupu=351, person=Person{imie='Gwenora', nazwisko='Degg', email='gdegg9q@1688.com', ip='59.194.218.88'}, car=Car{color='#caa58e', vin='WAUDF98E17A098414', company='Ford', model='F450', model_year='2009', price=66244.66}, localization=Localization{country='Poland', city='Mirocin'}, dateTime=2020-02-03T00:00}
Purchase{id_porzadkowe_zakupu=352, person=Person{imie='Analise', nazwisko='Yarnold', email='ayarnold9r@posterous.com', ip='164.84.24.93'}, car=Car{color='#444f87', vin='SALGR2WF9EA382325', company='Ford', model='F-Series', model_year='2009', price=33685.29}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-02-27T00:00}
Purchase{id_porzadkowe_zakupu=369, person=Person{imie='Nicky', nazwisko='MacGowing', email='nmacgowinga8@quantcast.com', ip='99.69.129.109'}, car=Car{color='#ffc287', vin='WBAWL73599P849496', company='Ford', model='F250', model_year='1996', price=49845.67}, localization=Localization{country='Poland', city='Głogów Małopolski'}, dateTime=2020-10-28T00:00}
Purchase{id_porzadkowe_zakupu=380, person=Person{imie='Ardelis', nazwisko='Hammon', email='ahammonaj@harvard.edu', ip='171.197.104.147'}, car=Car{color='#7c787d', vin='JM1BL1L34C1082521', company='Ford', model='Thunderbird', model_year='1996', price=97447.57}, localization=Localization{country='Czech Republic', city='Vrbice'}, dateTime=2020-12-20T00:00}
Purchase{id_porzadkowe_zakupu=384, person=Person{imie='Keefe', nazwisko='Itter', email='kitteran@tamu.edu', ip='4.37.211.183'}, car=Car{color='#2c9453', vin='WAUHFAFL2FN082752', company='Ford', model='F150', model_year='2009', price=33093.92}, localization=Localization{country='Poland', city='Nowy Dwór Gdański'}, dateTime=2020-05-03T00:00}
Purchase{id_porzadkowe_zakupu=389, person=Person{imie='Lorens', nazwisko='Bowdon', email='lbowdonas@prnewswire.com', ip='7.53.16.209'}, car=Car{color='#042bf1', vin='1G4HP52K834840370', company='Ford', model='Taurus', model_year='1997', price=47935.84}, localization=Localization{country='Poland', city='Oleszyce'}, dateTime=2020-06-09T00:00}
Purchase{id_porzadkowe_zakupu=394, person=Person{imie='Maisey', nazwisko='Ezzell', email='mezzellax@engadget.com', ip='181.40.242.15'}, car=Car{color='#0e0614', vin='3VWKX8AJ8BM364142', company='Ford', model='Mustang', model_year='1989', price=16980.37}, localization=Localization{country='Poland', city='Daszewice'}, dateTime=2020-01-31T00:00}
Purchase{id_porzadkowe_zakupu=397, person=Person{imie='Meggi', nazwisko='Forder', email='mforderb0@usatoday.com', ip='122.222.35.226'}, car=Car{color='#e6f37d', vin='1G6AR5S38E0474593', company='Ford', model='Probe', model_year='1997', price=93767.17}, localization=Localization{country='Poland', city='Jasienica'}, dateTime=2020-03-31T00:00}
Purchase{id_porzadkowe_zakupu=399, person=Person{imie='Butch', nazwisko='Olekhov', email='bolekhovb2@prweb.com', ip='146.160.157.144'}, car=Car{color='#c684be', vin='1ZVBP8JS3C5967807', company='Ford', model='Expedition', model_year='2012', price=65644.92}, localization=Localization{country='Poland', city='Duczki'}, dateTime=2020-03-30T00:00}
Purchase{id_porzadkowe_zakupu=410, person=Person{imie='Skipp', nazwisko='Marages', email='smaragesbd@cdbaby.com', ip='159.86.54.129'}, car=Car{color='#1a3e31', vin='SCBBB7ZH8EC043594', company='Ford', model='Mustang', model_year='1990', price=68937.65}, localization=Localization{country='Czech Republic', city='Zbýšov'}, dateTime=2020-12-17T00:00}
Purchase{id_porzadkowe_zakupu=429, person=Person{imie='Will', nazwisko='Campo', email='wcampobw@discovery.com', ip='52.44.53.42'}, car=Car{color='#630a19', vin='SCFEBBAK8BG489805', company='Ford', model='Transit Connect', model_year='2010', price=99772.91}, localization=Localization{country='Poland', city='Zebrzydowice'}, dateTime=2020-05-29T00:00}
Purchase{id_porzadkowe_zakupu=437, person=Person{imie='Francisca', nazwisko='Fadian', email='ffadianc4@wikia.com', ip='38.138.246.222'}, car=Car{color='#9e7231', vin='SALAG2D46AA900530', company='Ford', model='Contour', model_year='1995', price=48603.83}, localization=Localization{country='Czech Republic', city='Kopidlno'}, dateTime=2020-12-22T00:00}
Purchase{id_porzadkowe_zakupu=438, person=Person{imie='Nixie', nazwisko='Yukhov', email='nyukhovc5@hp.com', ip='42.134.119.242'}, car=Car{color='#d8d6cb', vin='WBAKE3C51BE835594', company='Ford', model='F150', model_year='1984', price=4494.16}, localization=Localization{country='Poland', city='Wolanów'}, dateTime=2020-10-26T00:00}
Purchase{id_porzadkowe_zakupu=440, person=Person{imie='Alexa', nazwisko='Pallas', email='apallasc7@vkontakte.ru', ip='26.238.135.74'}, car=Car{color='#98f68b', vin='YV4902NC8F1971978', company='Ford', model='Expedition', model_year='2006', price=84550.06}, localization=Localization{country='Poland', city='Pewel Wielka'}, dateTime=2020-07-12T00:00}
Purchase{id_porzadkowe_zakupu=441, person=Person{imie='Robbert', nazwisko='Rigmond', email='rrigmondc8@printfriendly.com', ip='75.231.166.208'}, car=Car{color='#616bdb', vin='2CTALMEC6B6435187', company='Ford', model='F350', model_year='2004', price=87470.45}, localization=Localization{country='Czech Republic', city='Doksy'}, dateTime=2020-04-22T00:00}
Purchase{id_porzadkowe_zakupu=462, person=Person{imie='Keslie', nazwisko='Willock', email='kwillockct@exblog.jp', ip='21.38.185.203'}, car=Car{color='#bc77cb', vin='1N4AA5APXCC474959', company='Ford', model='Taurus', model_year='1997', price=46204.1}, localization=Localization{country='Czech Republic', city='Golčův Jeníkov'}, dateTime=2020-01-19T00:00}
Purchase{id_porzadkowe_zakupu=468, person=Person{imie='Sebastian', nazwisko='Dincke', email='sdinckecz@about.me', ip='153.219.8.201'}, car=Car{color='#f7f05a', vin='SCFEBBDL7EG595087', company='Ford', model='Econoline E250', model_year='1995', price=45703.33}, localization=Localization{country='Czech Republic', city='Topolná'}, dateTime=2020-10-12T00:00}
Purchase{id_porzadkowe_zakupu=472, person=Person{imie='Laurene', nazwisko='Leavry', email='lleavryd3@unblog.fr', ip='211.212.230.98'}, car=Car{color='#610af0', vin='1G6KD57Y76U239328', company='Ford', model='F-Series', model_year='2001', price=77382.36}, localization=Localization{country='Poland', city='Lubichowo'}, dateTime=2020-06-29T00:00}
Purchase{id_porzadkowe_zakupu=487, person=Person{imie='Carolus', nazwisko='Count', email='ccountdi@unicef.org', ip='50.212.12.150'}, car=Car{color='#9e323e', vin='2G4WE587771126828', company='Ford', model='Thunderbird', model_year='1991', price=95092.28}, localization=Localization{country='Czech Republic', city='Žďár'}, dateTime=2020-07-18T00:00}
Purchase{id_porzadkowe_zakupu=493, person=Person{imie='Gracie', nazwisko='Vreede', email='gvreededo@intel.com', ip='161.160.214.144'}, car=Car{color='#0c3773', vin='WAUKF78E46A139385', company='Ford', model='Probe', model_year='1996', price=51447.41}, localization=Localization{country='Poland', city='Libiąż'}, dateTime=2020-03-26T00:00}
Purchase{id_porzadkowe_zakupu=494, person=Person{imie='Glennis', nazwisko='Alway', email='galwaydp@ameblo.jp', ip='161.10.131.73'}, car=Car{color='#dd1393', vin='WP0AB2A9XBS643101', company='Ford', model='Econoline E150', model_year='2001', price=4969.63}, localization=Localization{country='Czech Republic', city='Dobroměřice'}, dateTime=2020-04-18T00:00}
Purchase{id_porzadkowe_zakupu=517, person=Person{imie='Noel', nazwisko='Poolton', email='npooltonec@google.ru', ip='109.124.254.47'}, car=Car{color='#0ef729', vin='5GAKRCED4BJ285019', company='Ford', model='F250', model_year='2003', price=24090.47}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-05-25T00:00}
Purchase{id_porzadkowe_zakupu=523, person=Person{imie='Nanette', nazwisko='Mansour', email='nmansourei@deviantart.com', ip='125.171.132.71'}, car=Car{color='#af0fa6', vin='KMHHT6KD5BU694754', company='Ford', model='Aerostar', model_year='1991', price=96676.64}, localization=Localization{country='Poland', city='Wierzchosławice'}, dateTime=2020-11-22T00:00}
Purchase{id_porzadkowe_zakupu=550, person=Person{imie='Andreana', nazwisko='Matanin', email='amataninf9@github.com', ip='77.84.224.209'}, car=Car{color='#80503e', vin='3GYT4MEF1BG679596', company='Ford', model='Thunderbird', model_year='2004', price=6090.1}, localization=Localization{country='Poland', city='Korczew'}, dateTime=2020-05-30T00:00}
Purchase{id_porzadkowe_zakupu=567, person=Person{imie='Maye', nazwisko='Seally', email='mseallyfq@exblog.jp', ip='55.34.149.55'}, car=Car{color='#6a59fa', vin='5FRYD3H64EB608631', company='Ford', model='Freestyle', model_year='2005', price=85917.7}, localization=Localization{country='Czech Republic', city='Mýto'}, dateTime=2020-12-18T00:00}
Purchase{id_porzadkowe_zakupu=585, person=Person{imie='Dagny', nazwisko='Jinks', email='djinksg8@vistaprint.com', ip='82.122.109.56'}, car=Car{color='#693127', vin='5NPDH4AE0BH046817', company='Ford', model='Econoline E250', model_year='1994', price=20678.02}, localization=Localization{country='Czech Republic', city='Všenory'}, dateTime=2020-06-05T00:00}
Purchase{id_porzadkowe_zakupu=586, person=Person{imie='Cyndie', nazwisko='Leirmonth', email='cleirmonthg9@google.com', ip='9.150.234.15'}, car=Car{color='#e1dee0', vin='3VW1K7AJ3FM479922', company='Ford', model='Econoline E150', model_year='2000', price=60157.99}, localization=Localization{country='Czech Republic', city='Chrást'}, dateTime=2020-12-15T00:00}
Purchase{id_porzadkowe_zakupu=597, person=Person{imie='Arabele', nazwisko='Leblanc', email='aleblancgk@hp.com', ip='3.219.16.92'}, car=Car{color='#30b9d0', vin='1G4GA5GR5CF949859', company='Ford', model='Crown Victoria', model_year='2006', price=31058.64}, localization=Localization{country='Poland', city='Czarna Woda'}, dateTime=2020-02-25T00:00}
Purchase{id_porzadkowe_zakupu=606, person=Person{imie='Joel', nazwisko='Biddell', email='jbiddellgt@is.gd', ip='30.138.171.71'}, car=Car{color='#8dd2f0', vin='WAUJC68EX3A565219', company='Ford', model='F-Series', model_year='1986', price=79599.82}, localization=Localization{country='Poland', city='Rudna Mała'}, dateTime=2020-06-28T00:00}
Purchase{id_porzadkowe_zakupu=615, person=Person{imie='Ewart', nazwisko='Beatey', email='ebeateyh2@baidu.com', ip='89.246.110.48'}, car=Car{color='#ac0d64', vin='3D7TT2HT6AG705239', company='Ford', model='Ranger', model_year='2002', price=68096.9}, localization=Localization{country='Czech Republic', city='Žitenice'}, dateTime=2020-12-20T00:00}
Purchase{id_porzadkowe_zakupu=617, person=Person{imie='Fancy', nazwisko='Hooban', email='fhoobanh4@mail.ru', ip='139.13.220.142'}, car=Car{color='#3c6447', vin='3GYFNDEY9AS621629', company='Ford', model='Mustang', model_year='1997', price=63872.86}, localization=Localization{country='Poland', city='Błaszki'}, dateTime=2020-04-17T00:00}
Purchase{id_porzadkowe_zakupu=648, person=Person{imie='Cecilla', nazwisko='Sturges', email='csturgeshz@independent.co.uk', ip='118.169.114.153'}, car=Car{color='#7d1b40', vin='KM8JT3AB6DU726453', company='Ford', model='Tempo', model_year='1989', price=45282.09}, localization=Localization{country='Poland', city='Czerwonak'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=649, person=Person{imie='Phyllis', nazwisko='Shufflebotham', email='pshufflebothami0@dedecms.com', ip='3.177.11.217'}, car=Car{color='#77f8f4', vin='3N1CN7AP3DL914323', company='Ford', model='Thunderbird', model_year='1958', price=15928.37}, localization=Localization{country='Poland', city='Główczyce'}, dateTime=2020-04-14T00:00}
Purchase{id_porzadkowe_zakupu=652, person=Person{imie='Mathew', nazwisko='De Hooch', email='mdehoochi3@arizona.edu', ip='12.31.117.171'}, car=Car{color='#90e402', vin='WBAWL73587P081359', company='Ford', model='Explorer', model_year='2010', price=17174.29}, localization=Localization{country='Poland', city='Jeziora Wielkie'}, dateTime=2020-06-03T00:00}
Purchase{id_porzadkowe_zakupu=661, person=Person{imie='Simonette', nazwisko='Buffham', email='sbuffhamic@hexun.com', ip='193.120.117.146'}, car=Car{color='#c86692', vin='WAUEFAFL1EN464563', company='Ford', model='Fusion', model_year='2006', price=84373.36}, localization=Localization{country='Czech Republic', city='Milín'}, dateTime=2020-04-29T00:00}
Purchase{id_porzadkowe_zakupu=663, person=Person{imie='Glennis', nazwisko='Bletcher', email='gbletcherie@list-manage.com', ip='144.117.86.86'}, car=Car{color='#c849e2', vin='WP0AB2A96FS305040', company='Ford', model='Thunderbird', model_year='1986', price=69282.98}, localization=Localization{country='Poland', city='Bałtów'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=665, person=Person{imie='Laural', nazwisko='Tinklin', email='ltinklinig@indiegogo.com', ip='78.172.205.113'}, car=Car{color='#8a2a5e', vin='JTDKDTB39F1453588', company='Ford', model='Taurus', model_year='2013', price=9832.25}, localization=Localization{country='Germany', city='München'}, dateTime=2020-02-08T00:00}
Purchase{id_porzadkowe_zakupu=669, person=Person{imie='Felike', nazwisko='Hollidge', email='fhollidgeik@amazon.de', ip='101.243.96.130'}, car=Car{color='#e4408f', vin='5N1AR2MM6FC716049', company='Ford', model='Laser', model_year='1986', price=76248.04}, localization=Localization{country='Poland', city='Stare Pole'}, dateTime=2020-10-29T00:00}
Purchase{id_porzadkowe_zakupu=679, person=Person{imie='Loella', nazwisko='Elbourn', email='lelbourniu@cafepress.com', ip='94.54.175.172'}, car=Car{color='#6b3a71', vin='WBAYB6C53FG398812', company='Ford', model='Econoline E350', model_year='1999', price=70090.25}, localization=Localization{country='Czech Republic', city='Topolná'}, dateTime=2020-12-13T00:00}
Purchase{id_porzadkowe_zakupu=683, person=Person{imie='Omero', nazwisko='Giacopazzi', email='ogiacopazziiy@fc2.com', ip='97.54.211.180'}, car=Car{color='#4c4be0', vin='1G4GJ5E33DF921414', company='Ford', model='Ranger', model_year='1997', price=84884.07}, localization=Localization{country='Poland', city='Boleszkowice'}, dateTime=2020-07-16T00:00}
Purchase{id_porzadkowe_zakupu=684, person=Person{imie='Fredek', nazwisko='Marjoram', email='fmarjoramiz@ca.gov', ip='231.132.21.93'}, car=Car{color='#4d6750', vin='1D4PT5GK0AW706476', company='Ford', model='E250', model_year='1984', price=98725.52}, localization=Localization{country='Poland', city='Maciejowice'}, dateTime=2020-06-14T00:00}
Purchase{id_porzadkowe_zakupu=709, person=Person{imie='Mark', nazwisko='O'Coskerry', email='mocoskerryjo@jalbum.net', ip='210.137.210.180'}, car=Car{color='#9f6def', vin='1G6DC8EY3B0776957', company='Ford', model='Aerostar', model_year='1987', price=50162.31}, localization=Localization{country='Czech Republic', city='Všemina'}, dateTime=2020-12-07T00:00}
Purchase{id_porzadkowe_zakupu=720, person=Person{imie='Anthony', nazwisko='Smeaton', email='asmeatonjz@feedburner.com', ip='190.166.165.237'}, car=Car{color='#51b296', vin='JM1DE1KY0E0899980', company='Ford', model='Escape', model_year='2012', price=9988.65}, localization=Localization{country='Poland', city='Trzciana'}, dateTime=2020-06-01T00:00}
Purchase{id_porzadkowe_zakupu=725, person=Person{imie='Maure', nazwisko='Klimkiewich', email='mklimkiewichk4@cyberchimps.com', ip='33.107.49.141'}, car=Car{color='#9b4395', vin='WAUGGAFR3DA143978', company='Ford', model='E-Series', model_year='1992', price=20677.5}, localization=Localization{country='Poland', city='Sosnówka'}, dateTime=2020-09-26T00:00}
Purchase{id_porzadkowe_zakupu=727, person=Person{imie='Isidro', nazwisko='Shackleford', email='ishacklefordk6@cmu.edu', ip='38.81.83.72'}, car=Car{color='#784e4f', vin='3D73M4EL7AG525006', company='Ford', model='Thunderbird', model_year='1990', price=43073.07}, localization=Localization{country='Poland', city='Łaziska Górne'}, dateTime=2020-10-30T00:00}
Purchase{id_porzadkowe_zakupu=730, person=Person{imie='Julie', nazwisko='Power', email='jpowerk9@ihg.com', ip='212.159.150.43'}, car=Car{color='#428843', vin='WAUSH78E07A836919', company='Ford', model='Mustang', model_year='1986', price=51802.38}, localization=Localization{country='Poland', city='Rudniki'}, dateTime=2020-01-01T00:00}
Purchase{id_porzadkowe_zakupu=743, person=Person{imie='Phebe', nazwisko='Aubry', email='paubrykm@samsung.com', ip='49.195.241.229'}, car=Car{color='#31b293', vin='WBA3T7C54F5397595', company='Ford', model='Thunderbird', model_year='1972', price=48238.7}, localization=Localization{country='Czech Republic', city='Měřín'}, dateTime=2020-01-28T00:00}
Purchase{id_porzadkowe_zakupu=750, person=Person{imie='Rowena', nazwisko='Baudins', email='rbaudinskt@twitter.com', ip='234.20.48.161'}, car=Car{color='#5fccf5', vin='WAUWFBFL9AA874362', company='Ford', model='Freestar', model_year='2003', price=74898.8}, localization=Localization{country='Poland', city='Klimontów'}, dateTime=2020-01-30T00:00}
Purchase{id_porzadkowe_zakupu=758, person=Person{imie='Agnes', nazwisko='Lingfoot', email='alingfootl1@eventbrite.com', ip='34.51.204.59'}, car=Car{color='#4c6a2e', vin='JM3TB2CA9D0750470', company='Ford', model='Laser', model_year='1987', price=68546.3}, localization=Localization{country='Poland', city='Gorzyczki'}, dateTime=2020-05-27T00:00}
Purchase{id_porzadkowe_zakupu=761, person=Person{imie='Ritchie', nazwisko='D'Elias', email='rdeliasl4@arstechnica.com', ip='169.229.184.145'}, car=Car{color='#f68a48', vin='1G6DN8EV1A0298018', company='Ford', model='Mustang', model_year='1979', price=64996.18}, localization=Localization{country='Czech Republic', city='Velké Meziříčí'}, dateTime=2020-08-15T00:00}
Purchase{id_porzadkowe_zakupu=824, person=Person{imie='Goldia', nazwisko='Churching', email='gchurchingmv@adobe.com', ip='245.138.53.86'}, car=Car{color='#0a24e7', vin='WAURV78T99A678833', company='Ford', model='F-Series', model_year='1995', price=43641.5}, localization=Localization{country='Czech Republic', city='Lysice'}, dateTime=2020-11-10T00:00}
