Purchase{id_porzadkowe_zakupu=41, person=Person{imie='Queenie', nazwisko='Vial', email='qvial14@multiply.com', ip='201.11.195.220'}, car=Car{color='#e8facb', vin='WAUCFAFH8BN695474', company='GMC', model='Suburban 1500', model_year='1993', price=31746.21}, localization=Localization{country='Slovakia', city='Bratislava'}, dateTime=2020-09-06T00:00}
Purchase{id_porzadkowe_zakupu=348, person=Person{imie='Gearard', nazwisko='Kingscote', email='gkingscote9n@engadget.com', ip='40.44.207.217'}, car=Car{color='#c2f4d5', vin='WAULC58E35A583020', company='GMC', model='Yukon XL', model_year='2006', price=11181.27}, localization=Localization{country='Poland', city='Gierałtowice'}, dateTime=2020-11-16T00:00}
Purchase{id_porzadkowe_zakupu=375, person=Person{imie='Shayna', nazwisko='Schruur', email='sschruurae@delicious.com', ip='25.127.2.92'}, car=Car{color='#9aaf0a', vin='1GYEE637960103908', company='GMC', model='Sierra 3500HD', model_year='2006', price=84773.86}, localization=Localization{country='Czech Republic', city='Valašská Polanka'}, dateTime=2020-07-25T00:00}
Purchase{id_porzadkowe_zakupu=387, person=Person{imie='Mady', nazwisko='MacGrath', email='mmacgrathaq@odnoklassniki.ru', ip='168.173.158.37'}, car=Car{color='#516f4f', vin='4T1BD1FK7EU858671', company='GMC', model='Sierra 3500', model_year='2008', price=53506.27}, localization=Localization{country='Poland', city='Fabianki'}, dateTime=2020-02-07T00:00}
Purchase{id_porzadkowe_zakupu=395, person=Person{imie='Umeko', nazwisko='Taylerson', email='utaylersonay@e-recht24.de', ip='5.0.35.239'}, car=Car{color='#6de45b', vin='KNAGM4AD8B5260354', company='GMC', model='1500', model_year='1992', price=3070.67}, localization=Localization{country='Czech Republic', city='Žatec'}, dateTime=2020-01-18T00:00}
Purchase{id_porzadkowe_zakupu=426, person=Person{imie='Marilin', nazwisko='Fibbit', email='mfibbitbt@livejournal.com', ip='80.250.14.80'}, car=Car{color='#707a7d', vin='WAUEH94F66N031733', company='GMC', model='Savana', model_year='2009', price=31054.78}, localization=Localization{country='Czech Republic', city='Libochovice'}, dateTime=2020-03-20T00:00}
Purchase{id_porzadkowe_zakupu=446, person=Person{imie='Fern', nazwisko='Lakenton', email='flakentoncd@facebook.com', ip='159.220.193.208'}, car=Car{color='#40b818', vin='WAUML54DX1N686746', company='GMC', model='Jimmy', model_year='2000', price=47126.24}, localization=Localization{country='Poland', city='Szelków'}, dateTime=2020-01-16T00:00}
Purchase{id_porzadkowe_zakupu=507, person=Person{imie='Brittni', nazwisko='Aingel', email='baingele2@sina.com.cn', ip='53.42.198.158'}, car=Car{color='#441168', vin='JN8AZ1MU0EW246066', company='GMC', model='Savana 2500', model_year='2006', price=43340.55}, localization=Localization{country='Poland', city='Gościeradów'}, dateTime=2020-08-05T00:00}
Purchase{id_porzadkowe_zakupu=534, person=Person{imie='Sibeal', nazwisko='Clementi', email='sclementiet@deliciousdays.com', ip='89.71.181.135'}, car=Car{color='#c34a0f', vin='5N1AN0NWXFN186320', company='GMC', model='Sierra 2500HD', model_year='2006', price=40112.71}, localization=Localization{country='Poland', city='Janowice'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=589, person=Person{imie='Isidor', nazwisko='Yellowlea', email='iyellowleagc@ucoz.com', ip='151.112.41.48'}, car=Car{color='#6d0aee', vin='WBSKG9C59CE840763', company='GMC', model='Safari', model_year='1998', price=51305.64}, localization=Localization{country='Poland', city='Dolsk'}, dateTime=2020-04-22T00:00}
Purchase{id_porzadkowe_zakupu=592, person=Person{imie='Lewes', nazwisko='Tyght', email='ltyghtgf@cnet.com', ip='16.40.31.102'}, car=Car{color='#b9ddee', vin='1N6AF0KXXEN623632', company='GMC', model='Savana 3500', model_year='2005', price=11530.76}, localization=Localization{country='Poland', city='Koszarawa'}, dateTime=2020-04-22T00:00}
Purchase{id_porzadkowe_zakupu=604, person=Person{imie='Gabriela', nazwisko='Mourant', email='gmourantgr@weebly.com', ip='210.52.131.112'}, car=Car{color='#0fbd48', vin='2D4RN5D19AR043111', company='GMC', model='Suburban 2500', model_year='1993', price=84627.6}, localization=Localization{country='Czech Republic', city='Bílovice'}, dateTime=2020-04-07T00:00}
Purchase{id_porzadkowe_zakupu=613, person=Person{imie='Shayne', nazwisko='Angelo', email='sangeloh0@nationalgeographic.com', ip='57.102.188.37'}, car=Car{color='#41087a', vin='1G6KS54Y31U403967', company='GMC', model='2500 Club Coupe', model_year='1992', price=45723.16}, localization=Localization{country='Poland', city='Czarna Dąbrówka'}, dateTime=2020-07-16T00:00}
Purchase{id_porzadkowe_zakupu=647, person=Person{imie='Konstanze', nazwisko='Clink', email='kclinkhy@stanford.edu', ip='72.146.2.5'}, car=Car{color='#4c53c5', vin='JTEBU5JR7F5986836', company='GMC', model='Savana 2500', model_year='2012', price=93562.16}, localization=Localization{country='Czech Republic', city='Hošťka'}, dateTime=2020-12-11T00:00}
Purchase{id_porzadkowe_zakupu=660, person=Person{imie='Cynthea', nazwisko='Ellson', email='cellsonib@cocolog-nifty.com', ip='206.74.200.55'}, car=Car{color='#c3226e', vin='1D4PT7GXXAW497299', company='GMC', model='2500', model_year='1993', price=21660.32}, localization=Localization{country='Poland', city='Lubasz'}, dateTime=2020-05-15T00:00}
Purchase{id_porzadkowe_zakupu=667, person=Person{imie='Maighdiln', nazwisko='Sapp', email='msappii@list-manage.com', ip='64.112.131.231'}, car=Car{color='#b9a809', vin='3D73Y4CL2BG053046', company='GMC', model='Savana 1500', model_year='2010', price=40340.91}, localization=Localization{country='Poland', city='Rozwadza'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=705, person=Person{imie='Sax', nazwisko='Mordan', email='smordanjk@biglobe.ne.jp', ip='7.122.198.201'}, car=Car{color='#f85043', vin='1FTSX2A5XAE000101', company='GMC', model='Savana 2500', model_year='2002', price=98810.22}, localization=Localization{country='Czech Republic', city='Dambořice'}, dateTime=2020-07-21T00:00}
Purchase{id_porzadkowe_zakupu=748, person=Person{imie='Ashli', nazwisko='Blaske', email='ablaskekr@utexas.edu', ip='205.136.124.26'}, car=Car{color='#1ff3f1', vin='1FTEX1CM9CF292574', company='GMC', model='Sierra 1500', model_year='2011', price=56821.35}, localization=Localization{country='Poland', city='Dzięgielów'}, dateTime=2020-05-23T00:00}
Purchase{id_porzadkowe_zakupu=864, person=Person{imie='Kane', nazwisko='Coldbreath', email='kcoldbreathnz@hexun.com', ip='145.161.71.20'}, car=Car{color='#bc4595', vin='WBANV13549C565848', company='GMC', model='Sierra 3500HD', model_year='2006', price=15836.35}, localization=Localization{country='Germany', city='München'}, dateTime=2020-04-22T00:00}
Purchase{id_porzadkowe_zakupu=891, person=Person{imie='Corliss', nazwisko='Cabena', email='ccabenaoq@csmonitor.com', ip='59.54.236.199'}, car=Car{color='#56dc82', vin='19UUA8F24CA675498', company='GMC', model='Rally Wagon G3500', model_year='1995', price=35595.63}, localization=Localization{country='Poland', city='Chojna'}, dateTime=2020-01-03T00:00}
Purchase{id_porzadkowe_zakupu=907, person=Person{imie='Kelvin', nazwisko='Learman', email='klearmanp6@zdnet.com', ip='0.0.216.245'}, car=Car{color='#2b3e57', vin='JHMZF1C48CS081847', company='GMC', model='Yukon', model_year='1997', price=15503.07}, localization=Localization{country='Poland', city='Łysomice'}, dateTime=2020-08-06T00:00}
Purchase{id_porzadkowe_zakupu=913, person=Person{imie='Norina', nazwisko='O'Lennane', email='nolennanepc@springer.com', ip='159.172.213.215'}, car=Car{color='#8d6fd2', vin='SCFBF04B68G056306', company='GMC', model='Savana 3500', model_year='2008', price=86096.31}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-02-03T00:00}
Purchase{id_porzadkowe_zakupu=968, person=Person{imie='Odette', nazwisko='Reed', email='oreedqv@quantcast.com', ip='236.215.165.143'}, car=Car{color='#05177f', vin='JTHBK1GG3D2403989', company='GMC', model='Rally Wagon 3500', model_year='1993', price=12368.59}, localization=Localization{country='Czech Republic', city='Náklo'}, dateTime=2020-03-28T00:00}
