Purchase{id_porzadkowe_zakupu=9, person=Person{imie='Antonella', nazwisko='Riepl', email='ariepl8@mediafire.com', ip='169.75.223.75'}, car=Car{color='#7c776f', vin='2D4RN5D13AR749927', company='Dodge', model='Neon', model_year='2004', price=18117.79}, localization=Localization{country='Poland', city='Dobrzyca'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=499, person=Person{imie='Jackson', nazwisko='Grzegorzewicz', email='jgrzegorzewiczdu@123-reg.co.uk', ip='158.96.196.114'}, car=Car{color='#410bb7', vin='5LMJJ2H52AE787432', company='Dodge', model='Viper', model_year='1993', price=41325.74}, localization=Localization{country='Poland', city='Studzionka'}, dateTime=2020-11-12T00:00}
Purchase{id_porzadkowe_zakupu=528, person=Person{imie='Karol', nazwisko='Gaiter', email='kgaiteren@tuttocitta.it', ip='158.241.79.27'}, car=Car{color='#7a516c', vin='SCFFDCCD3CG713101', company='Dodge', model='Dakota', model_year='1992', price=99938.19}, localization=Localization{country='Poland', city='Mazańcowice'}, dateTime=2020-08-23T00:00}
Purchase{id_porzadkowe_zakupu=542, person=Person{imie='Cosimo', nazwisko='Filimore', email='cfilimoref1@ovh.net', ip='226.187.123.119'}, car=Car{color='#6a59a1', vin='5BZBF0AA3FN404954', company='Dodge', model='Dakota', model_year='1995', price=39865.22}, localization=Localization{country='Poland', city='Goworowo'}, dateTime=2020-04-16T00:00}
Purchase{id_porzadkowe_zakupu=545, person=Person{imie='Pam', nazwisko='Nuschke', email='pnuschkef4@mapquest.com', ip='235.11.16.87'}, car=Car{color='#891356', vin='WBA3D5C5XEF924890', company='Dodge', model='Stratus', model_year='1998', price=7386.62}, localization=Localization{country='Poland', city='Nowe Skalmierzyce'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=548, person=Person{imie='Wynn', nazwisko='Hugues', email='whuguesf7@umich.edu', ip='156.161.210.4'}, car=Car{color='#1b86ad', vin='1G6DJ8E34D0994323', company='Dodge', model='Ram Van B250', model_year='1994', price=23476.59}, localization=Localization{country='Poland', city='Zbrosławice'}, dateTime=2020-02-21T00:00}
Purchase{id_porzadkowe_zakupu=558, person=Person{imie='Kimmi', nazwisko='Bausor', email='kbausorfh@economist.com', ip='134.174.249.133'}, car=Car{color='#34de8d', vin='WBABD33495J025040', company='Dodge', model='Ram Van 1500', model_year='1999', price=27569.23}, localization=Localization{country='Poland', city='Gorzów Wielkopolski'}, dateTime=2020-12-17T00:00}
Purchase{id_porzadkowe_zakupu=565, person=Person{imie='Wenonah', nazwisko='Goundry', email='wgoundryfo@dropbox.com', ip='146.22.89.181'}, car=Car{color='#f9fbdc', vin='1G4GC5EG8AF688929', company='Dodge', model='Dakota', model_year='1993', price=94078.77}, localization=Localization{country='Poland', city='Suraż'}, dateTime=2020-12-25T00:00}
Purchase{id_porzadkowe_zakupu=576, person=Person{imie='Florrie', nazwisko='Hayesman', email='fhayesmanfz@multiply.com', ip='32.194.206.72'}, car=Car{color='#e3ba22', vin='WBA3B1G56EN934993', company='Dodge', model='Grand Caravan', model_year='1995', price=18931.15}, localization=Localization{country='Poland', city='Smolec'}, dateTime=2020-02-05T00:00}
Purchase{id_porzadkowe_zakupu=607, person=Person{imie='Thaxter', nazwisko='Wignall', email='twignallgu@unblog.fr', ip='200.190.196.243'}, car=Car{color='#b11a14', vin='WBABS534X2E025988', company='Dodge', model='Ram Wagon B250', model_year='1994', price=47066.16}, localization=Localization{country='Poland', city='Ursynów'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=609, person=Person{imie='Alvera', nazwisko='Cramb', email='acrambgw@skype.com', ip='7.131.206.57'}, car=Car{color='#b86be5', vin='1ZVBP8JS2A5298474', company='Dodge', model='Avenger', model_year='2010', price=54174.33}, localization=Localization{country='Poland', city='Humniska'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=620, person=Person{imie='Dorene', nazwisko='Straughan', email='dstraughanh7@samsung.com', ip='212.170.85.153'}, car=Car{color='#87fccb', vin='1G6DG577090424744', company='Dodge', model='Dakota', model_year='2002', price=91294.44}, localization=Localization{country='Czech Republic', city='Lipov'}, dateTime=2020-01-20T00:00}
Purchase{id_porzadkowe_zakupu=632, person=Person{imie='Si', nazwisko='Kinnerk', email='skinnerkhj@smugmug.com', ip='199.27.53.131'}, car=Car{color='#cae8ea', vin='WBAUP93528V957296', company='Dodge', model='Spirit', model_year='1992', price=62428.34}, localization=Localization{country='Poland', city='Książki'}, dateTime=2020-04-10T00:00}
Purchase{id_porzadkowe_zakupu=634, person=Person{imie='Mirna', nazwisko='Grainge', email='mgraingehl@ihg.com', ip='34.229.232.189'}, car=Car{color='#43e59c', vin='1FMJU1G56AE177147', company='Dodge', model='Ram Van B350', model_year='1992', price=68013.76}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-09-10T00:00}
Purchase{id_porzadkowe_zakupu=645, person=Person{imie='Myrah', nazwisko='Wilcocke', email='mwilcockehw@cbc.ca', ip='219.236.232.243'}, car=Car{color='#3a57c5', vin='5N1AR2MM5EC088001', company='Dodge', model='Avenger', model_year='1997', price=47767.09}, localization=Localization{country='Poland', city='Rogóźno'}, dateTime=2020-10-29T00:00}
Purchase{id_porzadkowe_zakupu=673, person=Person{imie='Katusha', nazwisko='Hayer', email='khayerio@springer.com', ip='124.225.87.39'}, car=Car{color='#97d0f2', vin='WA1CMBFP9FA152843', company='Dodge', model='Grand Caravan', model_year='2003', price=61882.08}, localization=Localization{country='Czech Republic', city='Kraslice'}, dateTime=2020-07-08T00:00}
Purchase{id_porzadkowe_zakupu=675, person=Person{imie='Sheelah', nazwisko='Peachey', email='speacheyiq@github.io', ip='244.7.97.169'}, car=Car{color='#b80aa7', vin='1G6YV36A675573460', company='Dodge', model='Viper RT/10', model_year='1995', price=42522.73}, localization=Localization{country='Poland', city='Ornontowice'}, dateTime=2020-08-14T00:00}
Purchase{id_porzadkowe_zakupu=677, person=Person{imie='Sib', nazwisko='Morena', email='smorenais@symantec.com', ip='117.161.99.47'}, car=Car{color='#54b333', vin='WBAFR9C50BD074264', company='Dodge', model='Ram Wagon B250', model_year='1994', price=34367.4}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-04-06T00:00}
Purchase{id_porzadkowe_zakupu=681, person=Person{imie='Barnabas', nazwisko='Grinsdale', email='bgrinsdaleiw@foxnews.com', ip='97.143.174.239'}, car=Car{color='#2d6d7d', vin='2G4WC582X61377707', company='Dodge', model='Grand Caravan', model_year='2007', price=28163.77}, localization=Localization{country='Poland', city='Stepnica'}, dateTime=2020-12-30T00:00}
Purchase{id_porzadkowe_zakupu=749, person=Person{imie='Daffy', nazwisko='Baudains', email='dbaudainsks@sphinn.com', ip='101.5.63.49'}, car=Car{color='#c2f451', vin='WBAPK7C5XAA490125', company='Dodge', model='Durango', model_year='2009', price=45584.85}, localization=Localization{country='Poland', city='Ochla'}, dateTime=2020-12-28T00:00}
Purchase{id_porzadkowe_zakupu=765, person=Person{imie='Fredrika', nazwisko='Kleynen', email='fkleynenl8@e-recht24.de', ip='39.193.180.228'}, car=Car{color='#e3928f', vin='3D7TP2CT1BG169068', company='Dodge', model='Ram Van 2500', model_year='1997', price=93066.99}, localization=Localization{country='Poland', city='Prusice'}, dateTime=2020-10-25T00:00}
Purchase{id_porzadkowe_zakupu=771, person=Person{imie='Mikol', nazwisko='Ends', email='mendsle@sohu.com', ip='198.228.2.241'}, car=Car{color='#20f083', vin='1FTWF3A53AE771803', company='Dodge', model='Ram 2500 Club', model_year='1996', price=32511.62}, localization=Localization{country='Poland', city='Odolanów'}, dateTime=2020-06-23T00:00}
Purchase{id_porzadkowe_zakupu=844, person=Person{imie='Vlad', nazwisko='Stiffkins', email='vstiffkinsnf@wikimedia.org', ip='229.169.5.122'}, car=Car{color='#d50975', vin='SALAB2V64EA427540', company='Dodge', model='Ram 1500', model_year='2006', price=97540.72}, localization=Localization{country='Poland', city='Szemud'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=853, person=Person{imie='Francine', nazwisko='Shreeves', email='fshreevesno@surveymonkey.com', ip='229.34.247.205'}, car=Car{color='#fff295', vin='5TFBM5F12AX467021', company='Dodge', model='Charger', model_year='2012', price=96970.36}, localization=Localization{country='Czech Republic', city='Český Těšín'}, dateTime=2020-10-22T00:00}
Purchase{id_porzadkowe_zakupu=872, person=Person{imie='Michelle', nazwisko='Rounsefell', email='mrounsefello7@chronoengine.com', ip='127.142.126.71'}, car=Car{color='#d397c2', vin='NM0KS9BN6DT608431', company='Dodge', model='Ram Van B150', model_year='1994', price=94292.51}, localization=Localization{country='Poland', city='Mętków'}, dateTime=2020-08-10T00:00}
Purchase{id_porzadkowe_zakupu=884, person=Person{imie='Roseann', nazwisko='June', email='rjuneoj@unicef.org', ip='3.65.84.237'}, car=Car{color='#347e3e', vin='WAUVFAFH9AN251169', company='Dodge', model='Stratus', model_year='2003', price=78182.91}, localization=Localization{country='Czech Republic', city='Valdice'}, dateTime=2020-02-10T00:00}
Purchase{id_porzadkowe_zakupu=918, person=Person{imie='Brandyn', nazwisko='Rean', email='breanph@xinhuanet.com', ip='237.74.32.111'}, car=Car{color='#54d872', vin='WA1LMAFE7ED633440', company='Dodge', model='Neon', model_year='2003', price=84507.12}, localization=Localization{country='Czech Republic', city='Louny'}, dateTime=2020-10-06T00:00}
Purchase{id_porzadkowe_zakupu=929, person=Person{imie='Annissa', nazwisko='Beernt', email='abeerntps@about.me', ip='231.81.164.97'}, car=Car{color='#c4ee83', vin='1GYS3CEF6BR619628', company='Dodge', model='Caravan', model_year='2010', price=84143.31}, localization=Localization{country='Czech Republic', city='Horní Štěpánov'}, dateTime=2020-06-05T00:00}
Purchase{id_porzadkowe_zakupu=946, person=Person{imie='Claudetta', nazwisko='Dorrance', email='cdorranceq9@ft.com', ip='58.120.252.39'}, car=Car{color='#41c53f', vin='WBANW5C55AC276163', company='Dodge', model='Ram Wagon B350', model_year='1992', price=81464.86}, localization=Localization{country='Poland', city='Gręboszów'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=956, person=Person{imie='Alon', nazwisko='Ziemen', email='aziemenqj@tripod.com', ip='6.117.243.92'}, car=Car{color='#35969e', vin='WBY2Z2C55FV190146', company='Dodge', model='Caravan', model_year='1999', price=24546.55}, localization=Localization{country='Czech Republic', city='Velký Újezd'}, dateTime=2020-10-01T00:00}
Purchase{id_porzadkowe_zakupu=967, person=Person{imie='Jedd', nazwisko='Pointon', email='jpointonqu@flickr.com', ip='30.221.214.139'}, car=Car{color='#0caf98', vin='WBAEN33432P150697', company='Dodge', model='Ram 2500', model_year='1994', price=60999.32}, localization=Localization{country='Poland', city='Jastrowie'}, dateTime=2020-09-07T00:00}
