Purchase{id_porzadkowe_zakupu=27, person=Person{imie='Carmen', nazwisko='Bowen', email='cbowenq@nationalgeographic.com', ip='63.239.51.206'}, car=Car{color='#3fb1cf', vin='WAUGL98E25A270887', company='Mercedes-Benz', model='E-Class', model_year='2005', price=59050.98}, localization=Localization{country='Germany', city='Kassel'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=338, person=Person{imie='Jeniece', nazwisko='Towers', email='jtowers9d@t-online.de', ip='33.140.164.241'}, car=Car{color='#36937c', vin='1G6AE5SX6D0613116', company='Mercedes-Benz', model='CLK-Class', model_year='2005', price=93260.59}, localization=Localization{country='Germany', city='Mainz'}, dateTime=2020-02-13T00:00}
Purchase{id_porzadkowe_zakupu=341, person=Person{imie='Kathy', nazwisko='Lount', email='klount9g@sakura.ne.jp', ip='71.81.245.90'}, car=Car{color='#b5bdc8', vin='WAUFFAFL0FA626387', company='Mercedes-Benz', model='E-Class', model_year='1993', price=42460.73}, localization=Localization{country='Czech Republic', city='Horka nad Moravou'}, dateTime=2020-12-23T00:00}
Purchase{id_porzadkowe_zakupu=356, person=Person{imie='Kariotta', nazwisko='Gittens', email='kgittens9v@people.com.cn', ip='1.240.115.76'}, car=Car{color='#d3005a', vin='4T3BA3BB4DU468000', company='Mercedes-Benz', model='R-Class', model_year='2011', price=69554.95}, localization=Localization{country='Poland', city='Stryków'}, dateTime=2020-02-26T00:00}
Purchase{id_porzadkowe_zakupu=362, person=Person{imie='Maxie', nazwisko='Riccardini', email='mriccardinia1@alexa.com', ip='238.58.249.186'}, car=Car{color='#7da7af', vin='1N6AA0CAXCN717418', company='Mercedes-Benz', model='W201', model_year='1985', price=93000.95}, localization=Localization{country='Czech Republic', city='Otaslavice'}, dateTime=2020-02-09T00:00}
Purchase{id_porzadkowe_zakupu=371, person=Person{imie='Florella', nazwisko='Faivre', email='ffaivreaa@taobao.com', ip='220.249.190.204'}, car=Car{color='#8f4944', vin='WBAAZ33475K024301', company='Mercedes-Benz', model='SL-Class', model_year='1999', price=16464.1}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-02-14T00:00}
Purchase{id_porzadkowe_zakupu=425, person=Person{imie='Elfrieda', nazwisko='Poznan', email='epoznanbs@microsoft.com', ip='65.53.105.127'}, car=Car{color='#16c4ce', vin='WAUEH94F46N957726', company='Mercedes-Benz', model='S-Class', model_year='2006', price=63444.94}, localization=Localization{country='Poland', city='Cielądz'}, dateTime=2020-09-27T00:00}
Purchase{id_porzadkowe_zakupu=436, person=Person{imie='Loralee', nazwisko='Gammell', email='lgammellc3@canalblog.com', ip='108.77.9.62'}, car=Car{color='#bfc2d7', vin='19VDE1F72DE536824', company='Mercedes-Benz', model='300E', model_year='1992', price=69282.52}, localization=Localization{country='Poland', city='Imielin'}, dateTime=2020-07-29T00:00}
Purchase{id_porzadkowe_zakupu=480, person=Person{imie='Paulie', nazwisko='Allso', email='pallsodb@naver.com', ip='11.169.68.80'}, car=Car{color='#49e867', vin='1GYS3CEF4ER538647', company='Mercedes-Benz', model='SLK-Class', model_year='2002', price=66904.75}, localization=Localization{country='Poland', city='Łapsze Niżne'}, dateTime=2020-09-22T00:00}
Purchase{id_porzadkowe_zakupu=543, person=Person{imie='Daryle', nazwisko='Eul', email='deulf2@technorati.com', ip='100.29.120.198'}, car=Car{color='#1c2cb0', vin='2D4RN3D18AR025963', company='Mercedes-Benz', model='R-Class', model_year='2008', price=40634.21}, localization=Localization{country='Poland', city='Pecna'}, dateTime=2020-08-17T00:00}
Purchase{id_porzadkowe_zakupu=608, person=Person{imie='Niki', nazwisko='Ramshay', email='nramshaygv@buzzfeed.com', ip='202.36.11.136'}, car=Car{color='#2f46a1', vin='JTMHY7AJ8E4324454', company='Mercedes-Benz', model='R-Class', model_year='2006', price=19967.4}, localization=Localization{country='Czech Republic', city='Sviadnov'}, dateTime=2020-06-10T00:00}
Purchase{id_porzadkowe_zakupu=611, person=Person{imie='Don', nazwisko='Nuemann', email='dnuemanngy@rediff.com', ip='208.98.91.86'}, car=Car{color='#3c0bc2', vin='1G4HP52KX4U461274', company='Mercedes-Benz', model='S-Class', model_year='2008', price=80139.84}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-10-03T00:00}
Purchase{id_porzadkowe_zakupu=635, person=Person{imie='Helli', nazwisko='Atchly', email='hatchlyhm@hatena.ne.jp', ip='132.170.78.198'}, car=Car{color='#d965a1', vin='2HNYD18293H884663', company='Mercedes-Benz', model='SLK-Class', model_year='2011', price=69094.53}, localization=Localization{country='Poland', city='Kabaty'}, dateTime=2020-05-30T00:00}
Purchase{id_porzadkowe_zakupu=656, person=Person{imie='Clyve', nazwisko='Hart', email='charti7@rediff.com', ip='2.166.229.34'}, car=Car{color='#42cc46', vin='TRURD28N461598920', company='Mercedes-Benz', model='SLR McLaren', model_year='2007', price=98123.27}, localization=Localization{country='Poland', city='Drobin'}, dateTime=2020-07-26T00:00}
Purchase{id_porzadkowe_zakupu=659, person=Person{imie='Doloritas', nazwisko='Finker', email='dfinkeria@unicef.org', ip='117.203.210.120'}, car=Car{color='#1b0751', vin='SCBLE47K88C474045', company='Mercedes-Benz', model='CL65 AMG', model_year='2009', price=59195.01}, localization=Localization{country='Poland', city='Wierzchosławice'}, dateTime=2020-08-30T00:00}
Purchase{id_porzadkowe_zakupu=680, person=Person{imie='Waylin', nazwisko='Sofe', email='wsofeiv@berkeley.edu', ip='62.163.35.64'}, car=Car{color='#417bbe', vin='YV4902DZ0B2091187', company='Mercedes-Benz', model='G-Class', model_year='2012', price=30421.46}, localization=Localization{country='Czech Republic', city='Lípa'}, dateTime=2020-12-27T00:00}
Purchase{id_porzadkowe_zakupu=710, person=Person{imie='Liuka', nazwisko='Gronno', email='lgronnojp@clickbank.net', ip='24.237.139.160'}, car=Car{color='#63b385', vin='5N1AN0NU5DN788618', company='Mercedes-Benz', model='SLK-Class', model_year='2008', price=17927.78}, localization=Localization{country='Poland', city='Nowa Góra'}, dateTime=2020-01-11T00:00}
Purchase{id_porzadkowe_zakupu=729, person=Person{imie='Tierney', nazwisko='Bullent', email='tbullentk8@ibm.com', ip='8.8.111.155'}, car=Car{color='#f2bd67', vin='1C4AJWAG0FL779908', company='Mercedes-Benz', model='M-Class', model_year='2010', price=76751.56}, localization=Localization{country='Poland', city='Kamieniec Wrocławski'}, dateTime=2020-01-06T00:00}
Purchase{id_porzadkowe_zakupu=733, person=Person{imie='Gaylord', nazwisko='Dosedale', email='gdosedalekc@hugedomains.com', ip='202.25.221.17'}, car=Car{color='#2b1164', vin='1C3CCBAG0EN919801', company='Mercedes-Benz', model='SL-Class', model_year='2009', price=81517.63}, localization=Localization{country='Czech Republic', city='Višňova'}, dateTime=2020-03-04T00:00}
Purchase{id_porzadkowe_zakupu=740, person=Person{imie='Philippine', nazwisko='Newman', email='pnewmankj@github.io', ip='32.160.93.106'}, car=Car{color='#734857', vin='2HNYD288X8H248397', company='Mercedes-Benz', model='S-Class', model_year='1989', price=32875.67}, localization=Localization{country='Czech Republic', city='Vyškov'}, dateTime=2020-02-11T00:00}
Purchase{id_porzadkowe_zakupu=781, person=Person{imie='Kerry', nazwisko='Eaddy', email='keaddylo@livejournal.com', ip='179.65.199.129'}, car=Car{color='#a3be82', vin='1FTEW1CFXFK468130', company='Mercedes-Benz', model='SL-Class', model_year='1994', price=4799.02}, localization=Localization{country='Poland', city='Zielona Góra'}, dateTime=2020-12-28T00:00}
Purchase{id_porzadkowe_zakupu=785, person=Person{imie='Elton', nazwisko='MacLaughlin', email='emaclaughlinls@feedburner.com', ip='63.57.95.167'}, car=Car{color='#d981fa', vin='WVGAV7AX9FW335673', company='Mercedes-Benz', model='C-Class', model_year='1999', price=87503.18}, localization=Localization{country='Czech Republic', city='Petrov'}, dateTime=2020-04-15T00:00}
Purchase{id_porzadkowe_zakupu=796, person=Person{imie='Florence', nazwisko='Shepton', email='fsheptonm3@mapy.cz', ip='4.65.18.55'}, car=Car{color='#772c62', vin='1GD422CG5EF564985', company='Mercedes-Benz', model='CL-Class', model_year='2006', price=77944.64}, localization=Localization{country='Czech Republic', city='Bludov'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=805, person=Person{imie='Darline', nazwisko='Yakobowitz', email='dyakobowitzmc@etsy.com', ip='187.112.158.190'}, car=Car{color='#59c853', vin='JN8AS1MU1AM533426', company='Mercedes-Benz', model='E-Class', model_year='1996', price=54876.31}, localization=Localization{country='Czech Republic', city='Předměřice nad Labem'}, dateTime=2020-05-04T00:00}
Purchase{id_porzadkowe_zakupu=811, person=Person{imie='Radcliffe', nazwisko='Petit', email='rpetitmi@bloglovin.com', ip='183.151.43.158'}, car=Car{color='#f56d72', vin='5N1BA0NE5FN170324', company='Mercedes-Benz', model='SL-Class', model_year='2003', price=66284.37}, localization=Localization{country='Poland', city='Sędziejowice'}, dateTime=2020-12-11T00:00}
Purchase{id_porzadkowe_zakupu=819, person=Person{imie='Babette', nazwisko='Brayshaw', email='bbrayshawmq@tamu.edu', ip='252.133.3.111'}, car=Car{color='#4b9540', vin='3D73Y3CL4BG766346', company='Mercedes-Benz', model='SLS AMG', model_year='2011', price=79588.99}, localization=Localization{country='Czech Republic', city='Líně'}, dateTime=2020-01-03T00:00}
Purchase{id_porzadkowe_zakupu=861, person=Person{imie='Bob', nazwisko='Allbrook', email='ballbrooknw@princeton.edu', ip='6.79.11.37'}, car=Car{color='#792007', vin='3TMJU4GN3EM074082', company='Mercedes-Benz', model='W201', model_year='1992', price=86538.44}, localization=Localization{country='Poland', city='Potęgowo'}, dateTime=2020-03-19T00:00}
Purchase{id_porzadkowe_zakupu=877, person=Person{imie='Alfy', nazwisko='Nevill', email='anevilloc@mapy.cz', ip='147.243.148.87'}, car=Car{color='#b668c9', vin='1N6AD0CUXCN912310', company='Mercedes-Benz', model='SL-Class', model_year='2012', price=97767.71}, localization=Localization{country='Poland', city='Komorów'}, dateTime=2020-04-05T00:00}
Purchase{id_porzadkowe_zakupu=901, person=Person{imie='Ashlee', nazwisko='Dismore', email='adismorep0@va.gov', ip='74.86.153.49'}, car=Car{color='#c2b7fe', vin='2G4WC582561030950', company='Mercedes-Benz', model='W123', model_year='1977', price=44748.84}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-01-18T00:00}
Purchase{id_porzadkowe_zakupu=906, person=Person{imie='Heinrik', nazwisko='Fewkes', email='hfewkesp5@zdnet.com', ip='255.212.54.62'}, car=Car{color='#a0ffbe', vin='JTJBM7FX7A5973887', company='Mercedes-Benz', model='E-Class', model_year='1992', price=31371.77}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-09-07T00:00}
Purchase{id_porzadkowe_zakupu=924, person=Person{imie='Evelin', nazwisko='Trustram', email='etrustrampn@berkeley.edu', ip='124.231.224.23'}, car=Car{color='#255d32', vin='2C3CDXHG4CH218846', company='Mercedes-Benz', model='E-Class', model_year='1985', price=20801.29}, localization=Localization{country='Poland', city='Kołbiel'}, dateTime=2020-10-05T00:00}
Purchase{id_porzadkowe_zakupu=945, person=Person{imie='Abe', nazwisko='Mc Comb', email='amccombq8@chron.com', ip='161.32.18.178'}, car=Car{color='#881729', vin='19VDE1F77FE872469', company='Mercedes-Benz', model='C-Class', model_year='2007', price=44998.76}, localization=Localization{country='Poland', city='Olsztynek'}, dateTime=2020-11-08T00:00}
Purchase{id_porzadkowe_zakupu=951, person=Person{imie='Christy', nazwisko='Merton', email='cmertonqe@oaic.gov.au', ip='93.202.134.73'}, car=Car{color='#325ec1', vin='WBA3G7C5XEK034559', company='Mercedes-Benz', model='300TE', model_year='1992', price=58487.99}, localization=Localization{country='Poland', city='Klenica'}, dateTime=2020-05-15T00:00}
Purchase{id_porzadkowe_zakupu=970, person=Person{imie='Denney', nazwisko='Meechan', email='dmeechanqx@icq.com', ip='191.96.132.126'}, car=Car{color='#51aa42', vin='1N6AF0KY8EN499949', company='Mercedes-Benz', model='SLK-Class', model_year='2002', price=93702.98}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-07-03T00:00}
Purchase{id_porzadkowe_zakupu=987, person=Person{imie='Barnie', nazwisko='Skentelbery', email='bskentelberyre@chicagotribune.com', ip='74.49.83.211'}, car=Car{color='#bb2d06', vin='WBAFB33461L281058', company='Mercedes-Benz', model='SL-Class', model_year='2011', price=18686.72}, localization=Localization{country='Poland', city='Opatów'}, dateTime=2020-05-21T00:00}
Purchase{id_porzadkowe_zakupu=992, person=Person{imie='Moreen', nazwisko='Darley', email='mdarleyrj@skyrock.com', ip='123.209.151.121'}, car=Car{color='#334a1b', vin='WAUHFAFL5DA539459', company='Mercedes-Benz', model='E-Class', model_year='2002', price=38456.38}, localization=Localization{country='Poland', city='Strachówka'}, dateTime=2020-07-18T00:00}
