Purchase{id_porzadkowe_zakupu=26, person=Person{imie='Vitia', nazwisko='Wressell', email='vwressellp@joomla.org', ip='83.75.76.69'}, car=Car{color='#fc52a8', vin='5N1AA0NE0EN847693', company='BMW', model='Z4', model_year='2010', price=30372.27}, localization=Localization{country='Czech Republic', city='Břeclav'}, dateTime=2020-01-07T00:00}
Purchase{id_porzadkowe_zakupu=195, person=Person{imie='Perla', nazwisko='Bushell', email='pbushell5e@youku.com', ip='140.253.218.198'}, car=Car{color='#e431b1', vin='5J8TB3H51EL197244', company='BMW', model='545', model_year='2004', price=62614.35}, localization=Localization{country='Poland', city='Barwałd Górny'}, dateTime=2020-12-24T00:00}
Purchase{id_porzadkowe_zakupu=214, person=Person{imie='Fionna', nazwisko='Abramow', email='fabramow5x@wordpress.org', ip='251.56.24.25'}, car=Car{color='#0cdd9a', vin='1FTFW1E8XAF166518', company='BMW', model='X5', model_year='2001', price=35279.81}, localization=Localization{country='Poland', city='Drawsko'}, dateTime=2020-03-29T00:00}
Purchase{id_porzadkowe_zakupu=238, person=Person{imie='Elita', nazwisko='Faill', email='efaill6l@cornell.edu', ip='141.223.153.71'}, car=Car{color='#b9b455', vin='3GYVKLEF8AG976355', company='BMW', model='3 Series', model_year='2005', price=11549.17}, localization=Localization{country='Poland', city='Gózd'}, dateTime=2020-03-08T00:00}
Purchase{id_porzadkowe_zakupu=245, person=Person{imie='Monro', nazwisko='Hatfield', email='mhatfield6s@biblegateway.com', ip='19.20.233.136'}, car=Car{color='#8bf31a', vin='WAUR4AFD2CN824808', company='BMW', model='Z4', model_year='2010', price=91014.28}, localization=Localization{country='Poland', city='Przasnysz'}, dateTime=2020-04-20T00:00}
Purchase{id_porzadkowe_zakupu=269, person=Person{imie='Cristie', nazwisko='Jurasek', email='cjurasek7g@google.pl', ip='126.13.177.139'}, car=Car{color='#2456cc', vin='YV1902AH6E1788396', company='BMW', model='3 Series', model_year='1994', price=38870.04}, localization=Localization{country='Poland', city='Zagórów'}, dateTime=2020-08-09T00:00}
Purchase{id_porzadkowe_zakupu=295, person=Person{imie='Ollie', nazwisko='Burgisi', email='oburgisi86@va.gov', ip='1.107.118.200'}, car=Car{color='#e9cd43', vin='WAUCFAFR3FA678619', company='BMW', model='Alpina B7', model_year='2007', price=75764.7}, localization=Localization{country='Poland', city='Kleszczewo'}, dateTime=2020-10-05T00:00}
Purchase{id_porzadkowe_zakupu=343, person=Person{imie='Doria', nazwisko='De Angelo', email='ddeangelo9i@imageshack.us', ip='188.150.129.226'}, car=Car{color='#0fbe26', vin='SCFHDDAJ5CA177035', company='BMW', model='X5', model_year='2001', price=38978.71}, localization=Localization{country='Germany', city='Frankfurt am Main'}, dateTime=2020-04-06T00:00}
Purchase{id_porzadkowe_zakupu=349, person=Person{imie='Anson', nazwisko='Arnaudon', email='aarnaudon9o@over-blog.com', ip='184.197.82.34'}, car=Car{color='#b6c2aa', vin='SCBET9ZA9FC137784', company='BMW', model='M3', model_year='2004', price=3563.02}, localization=Localization{country='Poland', city='Jaworzyna Śląska'}, dateTime=2020-03-06T00:00}
Purchase{id_porzadkowe_zakupu=367, person=Person{imie='Yolande', nazwisko='Cosgrove', email='ycosgrovea6@adobe.com', ip='41.41.17.78'}, car=Car{color='#40a84a', vin='2C3CDZAGXFH102853', company='BMW', model='530', model_year='2003', price=36923.42}, localization=Localization{country='Poland', city='Popielów'}, dateTime=2020-01-08T00:00}
Purchase{id_porzadkowe_zakupu=451, person=Person{imie='Jazmin', nazwisko='Mapstone', email='jmapstoneci@clickbank.net', ip='28.200.22.52'}, car=Car{color='#84d91a', vin='WAUEFBFL3BN474433', company='BMW', model='5 Series', model_year='2003', price=6372.82}, localization=Localization{country='Poland', city='Psary'}, dateTime=2020-08-15T00:00}
Purchase{id_porzadkowe_zakupu=478, person=Person{imie='Ada', nazwisko='Hadeke', email='ahadeked9@mashable.com', ip='92.201.230.105'}, car=Car{color='#eac55c', vin='1N4AA5AP7CC491489', company='BMW', model='M5', model_year='2006', price=38152.91}, localization=Localization{country='Czech Republic', city='Chlumčany'}, dateTime=2020-03-24T00:00}
Purchase{id_porzadkowe_zakupu=522, person=Person{imie='Regine', nazwisko='Slader', email='rsladereh@vkontakte.ru', ip='68.216.205.116'}, car=Car{color='#1375fd', vin='2T1KE4EE8BC652217', company='BMW', model='330', model_year='2006', price=3362.42}, localization=Localization{country='Poland', city='Prażmów'}, dateTime=2020-12-13T00:00}
Purchase{id_porzadkowe_zakupu=539, person=Person{imie='Archie', nazwisko='Bloys', email='abloysey@fda.gov', ip='95.124.129.182'}, car=Car{color='#714e59', vin='1G4CW54K314951206', company='BMW', model='530', model_year='2007', price=67131.57}, localization=Localization{country='Czech Republic', city='Horní Cerekev'}, dateTime=2020-12-19T00:00}
Purchase{id_porzadkowe_zakupu=601, person=Person{imie='Erasmus', nazwisko='Peschke', email='epeschkego@google.es', ip='29.143.142.85'}, car=Car{color='#4636e3', vin='WAUWFBFLXBA009224', company='BMW', model='M5', model_year='2001', price=78384.64}, localization=Localization{country='Poland', city='Michałów-Reginów'}, dateTime=2020-09-19T00:00}
Purchase{id_porzadkowe_zakupu=630, person=Person{imie='Mellicent', nazwisko='Sergent', email='msergenthh@howstuffworks.com', ip='176.43.113.212'}, car=Car{color='#46ac4e', vin='1ZVBP8JSXB5330203', company='BMW', model='760', model_year='2006', price=69781.42}, localization=Localization{country='Czech Republic', city='Černovice'}, dateTime=2020-07-11T00:00}
Purchase{id_porzadkowe_zakupu=633, person=Person{imie='Sam', nazwisko='Rickeard', email='srickeardhk@adobe.com', ip='111.6.178.72'}, car=Car{color='#b7d7fa', vin='WAUHF68P86A769514', company='BMW', model='6 Series', model_year='2005', price=41179.8}, localization=Localization{country='Poland', city='Żabieniec'}, dateTime=2020-11-23T00:00}
Purchase{id_porzadkowe_zakupu=636, person=Person{imie='Tommy', nazwisko='Learmount', email='tlearmounthn@hud.gov', ip='181.185.37.107'}, car=Car{color='#ddd371', vin='3D4PG9FG3BT856677', company='BMW', model='M', model_year='2000', price=70022.09}, localization=Localization{country='Poland', city='Łobez'}, dateTime=2020-07-26T00:00}
Purchase{id_porzadkowe_zakupu=657, person=Person{imie='Bay', nazwisko='Roantree', email='broantreei8@desdev.cn', ip='42.123.237.151'}, car=Car{color='#80008c', vin='19UUA9F53CA939570', company='BMW', model='760', model_year='2006', price=59059.35}, localization=Localization{country='Poland', city='Rogóźno'}, dateTime=2020-01-24T00:00}
Purchase{id_porzadkowe_zakupu=658, person=Person{imie='Jamie', nazwisko='MacMoyer', email='jmacmoyeri9@livejournal.com', ip='217.57.10.46'}, car=Car{color='#2879b8', vin='WAUJC68E72A129314', company='BMW', model='Alpina B7', model_year='2008', price=28596.3}, localization=Localization{country='Poland', city='Frydrychowice'}, dateTime=2020-04-02T00:00}
Purchase{id_porzadkowe_zakupu=682, person=Person{imie='Sascha', nazwisko='Wringe', email='swringeix@cnet.com', ip='146.203.31.212'}, car=Car{color='#b4d5ce', vin='WBAVT13556A226612', company='BMW', model='M3', model_year='2011', price=79238.32}, localization=Localization{country='Poland', city='Trzciana'}, dateTime=2020-11-04T00:00}
Purchase{id_porzadkowe_zakupu=734, person=Person{imie='Chrysa', nazwisko='Colman', email='ccolmankd@issuu.com', ip='210.68.171.160'}, car=Car{color='#c023b2', vin='JN1CV6EK0BM778471', company='BMW', model='X5 M', model_year='2010', price=74527.0}, localization=Localization{country='Poland', city='Cisek'}, dateTime=2020-04-29T00:00}
Purchase{id_porzadkowe_zakupu=735, person=Person{imie='Perl', nazwisko='Caiger', email='pcaigerke@wordpress.com', ip='38.245.198.204'}, car=Car{color='#f81757', vin='1C3BCBFG5CN025486', company='BMW', model='X6', model_year='2009', price=64508.2}, localization=Localization{country='Poland', city='Leśnica'}, dateTime=2020-10-27T00:00}
Purchase{id_porzadkowe_zakupu=754, person=Person{imie='Marshall', nazwisko='Adamiec', email='madamieckx@flickr.com', ip='215.141.7.211'}, car=Car{color='#0d7282', vin='SCBLE37G45C648386', company='BMW', model='X5', model_year='2012', price=33217.66}, localization=Localization{country='Poland', city='Brzozów'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=780, person=Person{imie='Vivi', nazwisko='Keough', email='vkeoughln@merriam-webster.com', ip='56.73.252.43'}, car=Car{color='#22b80c', vin='3VWKX7AJ2AM850860', company='BMW', model='M3', model_year='2005', price=28318.62}, localization=Localization{country='Poland', city='Świdwin'}, dateTime=2020-09-28T00:00}
Purchase{id_porzadkowe_zakupu=843, person=Person{imie='Jared', nazwisko='Hudspith', email='jhudspithne@cocolog-nifty.com', ip='206.127.159.23'}, car=Car{color='#925c85', vin='TRUTX28N321128904', company='BMW', model='7 Series', model_year='1993', price=29836.57}, localization=Localization{country='Poland', city='Goczałkowice Zdrój'}, dateTime=2020-11-19T00:00}
Purchase{id_porzadkowe_zakupu=894, person=Person{imie='Vickie', nazwisko='Muffitt', email='vmuffittot@sfgate.com', ip='57.45.46.106'}, car=Car{color='#41cbb0', vin='KNALN4D74F5578835', company='BMW', model='5 Series', model_year='2004', price=21662.12}, localization=Localization{country='Poland', city='Piekielnik'}, dateTime=2020-12-15T00:00}
Purchase{id_porzadkowe_zakupu=902, person=Person{imie='Klement', nazwisko='Probetts', email='kprobettsp1@xing.com', ip='180.234.99.175'}, car=Car{color='#41826a', vin='1N6AA0CA1AN804279', company='BMW', model='X6', model_year='2013', price=76733.87}, localization=Localization{country='Czech Republic', city='Bystřany'}, dateTime=2020-02-29T00:00}
Purchase{id_porzadkowe_zakupu=954, person=Person{imie='Heath', nazwisko='Smallthwaite', email='hsmallthwaiteqh@last.fm', ip='70.198.40.140'}, car=Car{color='#59f2b9', vin='1C3CDFBB0FD093143', company='BMW', model='M3', model_year='1997', price=78597.13}, localization=Localization{country='Poland', city='Kraczkowa'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=961, person=Person{imie='Carola', nazwisko='Darte', email='cdarteqo@bluehost.com', ip='136.246.236.170'}, car=Car{color='#0020e6', vin='1FTMF1C84AK055254', company='BMW', model='M3', model_year='1998', price=24263.8}, localization=Localization{country='Czech Republic', city='Batelov'}, dateTime=2020-04-17T00:00}
