Purchase{id_porzadkowe_zakupu=1, person=Person{imie='Marsh', nazwisko='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, localization=Localization{country='Czech Republic', city='Bořetice'}, dateTime=2020-09-03T00:00}
Purchase{id_porzadkowe_zakupu=194, person=Person{imie='Noelle', nazwisko='Wealleans', email='nwealleans5d@nyu.edu', ip='139.67.205.67'}, car=Car{color='#f2c037', vin='JTHBE1D25E5400964', company='Chevrolet', model='Suburban 2500', model_year='2002', price=63010.5}, localization=Localization{country='Czech Republic', city='Třemošnice'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=221, person=Person{imie='Alfy', nazwisko='Hardway', email='ahardway64@sun.com', ip='143.233.204.250'}, car=Car{color='#835653', vin='WBADS334X2G744269', company='Chevrolet', model='Lumina', model_year='1997', price=13464.81}, localization=Localization{country='Poland', city='Stoczek'}, dateTime=2020-11-12T00:00}
Purchase{id_porzadkowe_zakupu=223, person=Person{imie='Gennifer', nazwisko='Zamorrano', email='gzamorrano66@goodreads.com', ip='156.200.202.107'}, car=Car{color='#9a00da', vin='5GAKVDKD2DJ102838', company='Chevrolet', model='HHR', model_year='2009', price=51293.94}, localization=Localization{country='Poland', city='Chociwel'}, dateTime=2020-09-15T00:00}
Purchase{id_porzadkowe_zakupu=225, person=Person{imie='Kerri', nazwisko='Van Dale', email='kvandale68@seattletimes.com', ip='211.39.22.253'}, car=Car{color='#6ffb45', vin='1ZVBP8AMXD5066288', company='Chevrolet', model='Sportvan G30', model_year='1995', price=94826.17}, localization=Localization{country='Poland', city='Podgórzyn'}, dateTime=2020-05-01T00:00}
Purchase{id_porzadkowe_zakupu=249, person=Person{imie='Jolynn', nazwisko='Idney', email='jidney6w@amazon.com', ip='199.37.238.207'}, car=Car{color='#b13116', vin='4USBT33584L352055', company='Chevrolet', model='SSR', model_year='2005', price=47507.31}, localization=Localization{country='Poland', city='Krzyżowice'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=274, person=Person{imie='Glenn', nazwisko='Tulleth', email='gtulleth7l@businesswire.com', ip='167.109.68.113'}, car=Car{color='#e53bed', vin='5UXFE43527L092388', company='Chevrolet', model='Monte Carlo', model_year='1999', price=66959.46}, localization=Localization{country='Czech Republic', city='Malé Svatoňovice'}, dateTime=2020-03-05T00:00}
Purchase{id_porzadkowe_zakupu=279, person=Person{imie='Hendrika', nazwisko='Conor', email='hconor7q@tiny.cc', ip='226.249.244.229'}, car=Car{color='#96f25a', vin='1C4NJCBA6FD625241', company='Chevrolet', model='Express 1500', model_year='2008', price=21450.41}, localization=Localization{country='Poland', city='Wiązownica'}, dateTime=2020-04-03T00:00}
Purchase{id_porzadkowe_zakupu=302, person=Person{imie='Kaitlin', nazwisko='Ruvel', email='kruvel8d@simplemachines.org', ip='127.164.161.255'}, car=Car{color='#3be382', vin='1N4AA5APXAC070850', company='Chevrolet', model='Express', model_year='2011', price=74983.39}, localization=Localization{country='Czech Republic', city='Jarošov nad Nežárkou'}, dateTime=2020-02-01T00:00}
Purchase{id_porzadkowe_zakupu=313, person=Person{imie='Hollyanne', nazwisko='Ortas', email='hortas8o@cbc.ca', ip='117.118.99.201'}, car=Car{color='#007fd1', vin='1FTEW1CM6CK966710', company='Chevrolet', model='Caprice', model_year='1996', price=14814.13}, localization=Localization{country='Poland', city='Bęczarka'}, dateTime=2020-11-09T00:00}
Purchase{id_porzadkowe_zakupu=316, person=Person{imie='Tally', nazwisko='Creenan', email='tcreenan8r@admin.ch', ip='134.149.232.31'}, car=Car{color='#acc81d', vin='5UMBT93516L329708', company='Chevrolet', model='1500', model_year='1998', price=50346.1}, localization=Localization{country='Czech Republic', city='Mladá Boleslav'}, dateTime=2020-12-16T00:00}
Purchase{id_porzadkowe_zakupu=323, person=Person{imie='Salomo', nazwisko='Mackinder', email='smackinder8y@infoseek.co.jp', ip='255.230.174.186'}, car=Car{color='#449ac9', vin='5J6TF3H59FL278149', company='Chevrolet', model='Venture', model_year='1999', price=61806.78}, localization=Localization{country='Poland', city='Dziewin'}, dateTime=2020-03-04T00:00}
Purchase{id_porzadkowe_zakupu=347, person=Person{imie='Dotty', nazwisko='Cheltnam', email='dcheltnam9m@npr.org', ip='102.181.3.193'}, car=Car{color='#04f824', vin='WBA4A7C55FD680278', company='Chevrolet', model='Suburban 2500', model_year='1996', price=47863.67}, localization=Localization{country='Czech Republic', city='Moravský Beroun'}, dateTime=2020-07-25T00:00}
Purchase{id_porzadkowe_zakupu=366, person=Person{imie='Harmonie', nazwisko='Castle', email='hcastlea5@yellowpages.com', ip='167.68.50.20'}, car=Car{color='#a31070', vin='1GYFC13279R074796', company='Chevrolet', model='Cavalier', model_year='2002', price=68453.3}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-01-03T00:00}
Purchase{id_porzadkowe_zakupu=368, person=Person{imie='Darda', nazwisko='Lanfear', email='dlanfeara7@ft.com', ip='142.173.37.70'}, car=Car{color='#ee138b', vin='1G6KE57Y04U346618', company='Chevrolet', model='Express 3500', model_year='2010', price=33200.38}, localization=Localization{country='Poland', city='Złotniki'}, dateTime=2020-02-08T00:00}
Purchase{id_porzadkowe_zakupu=377, person=Person{imie='Ashley', nazwisko='Earlam', email='aearlamag@pen.io', ip='154.210.76.235'}, car=Car{color='#fc205c', vin='WAUHF78P68A423342', company='Chevrolet', model='Silverado 2500', model_year='2002', price=84876.0}, localization=Localization{country='Poland', city='Raszków'}, dateTime=2020-02-19T00:00}
Purchase{id_porzadkowe_zakupu=388, person=Person{imie='Mia', nazwisko='Lanchberry', email='mlanchberryar@ask.com', ip='250.23.107.131'}, car=Car{color='#f99f7b', vin='1N4AL3AP7EC400058', company='Chevrolet', model='Caprice Classic', model_year='1993', price=73905.56}, localization=Localization{country='Poland', city='Stepnica'}, dateTime=2020-06-29T00:00}
Purchase{id_porzadkowe_zakupu=401, person=Person{imie='Christoper', nazwisko='Challenor', email='cchallenorb4@google.com.hk', ip='224.9.236.118'}, car=Car{color='#fea3cf', vin='WAUAF78E06A817688', company='Chevrolet', model='Corvette', model_year='1955', price=66243.08}, localization=Localization{country='Poland', city='Budzów'}, dateTime=2020-10-14T00:00}
Purchase{id_porzadkowe_zakupu=404, person=Person{imie='Aeriela', nazwisko='Jolliss', email='ajollissb7@slashdot.org', ip='62.217.117.178'}, car=Car{color='#28d4e1', vin='1FMJK1F57BE843117', company='Chevrolet', model='Avalanche 1500', model_year='2004', price=48710.4}, localization=Localization{country='Poland', city='Łukowa'}, dateTime=2020-07-31T00:00}
Purchase{id_porzadkowe_zakupu=412, person=Person{imie='Ally', nazwisko='Burnes', email='aburnesbf@youku.com', ip='169.133.18.14'}, car=Car{color='#ebc8fa', vin='3VWKP7AJ4EM226869', company='Chevrolet', model='Corvette', model_year='1963', price=50694.76}, localization=Localization{country='Poland', city='Repki'}, dateTime=2020-08-28T00:00}
Purchase{id_porzadkowe_zakupu=457, person=Person{imie='Lindsy', nazwisko='Labet', email='llabetco@artisteer.com', ip='6.65.13.204'}, car=Car{color='#8ba388', vin='JM3KE2BE8F0512779', company='Chevrolet', model='Express 2500', model_year='2007', price=45482.16}, localization=Localization{country='Poland', city='Rajsko'}, dateTime=2020-11-03T00:00}
Purchase{id_porzadkowe_zakupu=458, person=Person{imie='Thaxter', nazwisko='Steptoe', email='tsteptoecp@artisteer.com', ip='28.145.58.105'}, car=Car{color='#c0b967', vin='WBSBR934X6P393547', company='Chevrolet', model='S10', model_year='2003', price=72424.96}, localization=Localization{country='Poland', city='Miechów Charsznica'}, dateTime=2020-01-27T00:00}
Purchase{id_porzadkowe_zakupu=483, person=Person{imie='Beale', nazwisko='Kynder', email='bkynderde@cmu.edu', ip='85.61.28.12'}, car=Car{color='#0ccaeb', vin='3LN6L2LUXDR081778', company='Chevrolet', model='HHR', model_year='2009', price=38398.33}, localization=Localization{country='Czech Republic', city='Karlovy Vary'}, dateTime=2020-06-11T00:00}
Purchase{id_porzadkowe_zakupu=508, person=Person{imie='Ewen', nazwisko='Tassel', email='etassele3@upenn.edu', ip='144.167.100.7'}, car=Car{color='#d9d24b', vin='JH4DB75621S337288', company='Chevrolet', model='Corvette', model_year='1987', price=12596.16}, localization=Localization{country='Poland', city='Obryte'}, dateTime=2020-10-26T00:00}
Purchase{id_porzadkowe_zakupu=511, person=Person{imie='Tobias', nazwisko='Learned', email='tlearnede6@howstuffworks.com', ip='235.31.99.104'}, car=Car{color='#616fdb', vin='WBA3A5C56FF332929', company='Chevrolet', model='Suburban 1500', model_year='2011', price=65723.19}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-03-18T00:00}
Purchase{id_porzadkowe_zakupu=514, person=Person{imie='Margret', nazwisko='Moxstead', email='mmoxsteade9@dagondesign.com', ip='85.186.71.79'}, car=Car{color='#3f7706', vin='1G6D25ED2B0888230', company='Chevrolet', model='2500', model_year='1995', price=10626.82}, localization=Localization{country='Poland', city='Pyskowice'}, dateTime=2020-05-05T00:00}
Purchase{id_porzadkowe_zakupu=515, person=Person{imie='Keslie', nazwisko='MacHoste', email='kmachosteea@skype.com', ip='57.142.38.164'}, car=Car{color='#5a21ad', vin='1G4HR54K65U620428', company='Chevrolet', model='G-Series G10', model_year='1993', price=89302.75}, localization=Localization{country='Poland', city='Krzyżanowice'}, dateTime=2020-04-13T00:00}
Purchase{id_porzadkowe_zakupu=556, person=Person{imie='Pam', nazwisko='O Mullen', email='pomullenff@forbes.com', ip='155.132.250.101'}, car=Car{color='#d4a7c5', vin='SALFP2BN7AH202646', company='Chevrolet', model='Express 3500', model_year='2003', price=68251.53}, localization=Localization{country='Germany', city='München'}, dateTime=2020-11-30T00:00}
Purchase{id_porzadkowe_zakupu=583, person=Person{imie='Jasun', nazwisko='Bonifazio', email='jbonifaziog6@sphinn.com', ip='146.65.47.44'}, car=Car{color='#db706c', vin='KL4CJFSB1FB385085', company='Chevrolet', model='Sportvan G30', model_year='1995', price=68095.63}, localization=Localization{country='Czech Republic', city='Studená'}, dateTime=2020-12-13T00:00}
Purchase{id_porzadkowe_zakupu=591, person=Person{imie='Kristina', nazwisko='Issard', email='kissardge@desdev.cn', ip='80.111.98.192'}, car=Car{color='#4342eb', vin='3LN6L2G92DR496597', company='Chevrolet', model='Silverado 2500', model_year='2003', price=72526.32}, localization=Localization{country='Poland', city='Bujaków'}, dateTime=2020-12-13T00:00}
Purchase{id_porzadkowe_zakupu=594, person=Person{imie='Thorndike', nazwisko='Trime', email='ttrimegh@360.cn', ip='113.224.77.1'}, car=Car{color='#c15345', vin='3D73M3CL6AG095899', company='Chevrolet', model='HHR', model_year='2008', price=5298.14}, localization=Localization{country='Czech Republic', city='Valdice'}, dateTime=2020-10-31T00:00}
Purchase{id_porzadkowe_zakupu=605, person=Person{imie='Trudy', nazwisko='Spileman', email='tspilemangs@intel.com', ip='148.13.200.73'}, car=Car{color='#05ec4f', vin='3D4PH5FV3AT019091', company='Chevrolet', model='1500', model_year='1993', price=60357.78}, localization=Localization{country='Czech Republic', city='Toužim'}, dateTime=2020-09-26T00:00}
Purchase{id_porzadkowe_zakupu=631, person=Person{imie='Meghan', nazwisko='Blethin', email='mblethinhi@etsy.com', ip='254.104.196.107'}, car=Car{color='#fd9a0b', vin='SCBZK25E01C747487', company='Chevrolet', model='Express 3500', model_year='2009', price=81029.37}, localization=Localization{country='Czech Republic', city='Litvínovice'}, dateTime=2020-01-09T00:00}
Purchase{id_porzadkowe_zakupu=637, person=Person{imie='Leicester', nazwisko='Gamlyn', email='lgamlynho@twitter.com', ip='42.47.239.199'}, car=Car{color='#e0cd9d', vin='WBAVB73537P799707', company='Chevrolet', model='Aveo', model_year='2007', price=54181.97}, localization=Localization{country='Czech Republic', city='Tvrdonice'}, dateTime=2020-09-06T00:00}
Purchase{id_porzadkowe_zakupu=666, person=Person{imie='Bill', nazwisko='MacGragh', email='bmacgraghih@moonfruit.com', ip='206.9.59.250'}, car=Car{color='#f23129', vin='1FTEW1E83AF389916', company='Chevrolet', model='Corvette', model_year='1965', price=51423.85}, localization=Localization{country='Poland', city='Limanowa'}, dateTime=2020-02-29T00:00}
Purchase{id_porzadkowe_zakupu=686, person=Person{imie='Merrill', nazwisko='Kobel', email='mkobelj1@ft.com', ip='205.169.132.181'}, car=Car{color='#2d2f9c', vin='JN8AE2KP2B9252931', company='Chevrolet', model='Corvette', model_year='1966', price=8905.37}, localization=Localization{country='Germany', city='Lübeck'}, dateTime=2020-03-18T00:00}
Purchase{id_porzadkowe_zakupu=692, person=Person{imie='Frances', nazwisko='Cham', email='fchamj7@i2i.jp', ip='40.14.255.14'}, car=Car{color='#51b04b', vin='1FTEW1E80AF435217', company='Chevrolet', model='G-Series G20', model_year='1993', price=56306.72}, localization=Localization{country='Poland', city='Haczów'}, dateTime=2020-11-17T00:00}
Purchase{id_porzadkowe_zakupu=697, person=Person{imie='Rodd', nazwisko='Tomlins', email='rtomlinsjc@exblog.jp', ip='41.102.79.103'}, car=Car{color='#975171', vin='WBAWR33578P429371', company='Chevrolet', model='Lumina', model_year='1993', price=67013.15}, localization=Localization{country='Poland', city='Domaradz'}, dateTime=2020-06-07T00:00}
Purchase{id_porzadkowe_zakupu=706, person=Person{imie='Ado', nazwisko='Caldero', email='acalderojl@zdnet.com', ip='67.10.140.164'}, car=Car{color='#e1eb7d', vin='19UUA76698A878388', company='Chevrolet', model='Silverado 3500', model_year='2003', price=40912.28}, localization=Localization{country='Germany', city='Köln'}, dateTime=2020-03-31T00:00}
Purchase{id_porzadkowe_zakupu=739, person=Person{imie='Zonnya', nazwisko='Rivelin', email='zrivelinki@mayoclinic.com', ip='182.160.245.142'}, car=Car{color='#79edb3', vin='2T1BU4EE9BC690123', company='Chevrolet', model='G-Series G20', model_year='1994', price=39825.36}, localization=Localization{country='Poland', city='Strachówka'}, dateTime=2020-05-23T00:00}
Purchase{id_porzadkowe_zakupu=772, person=Person{imie='Doll', nazwisko='Bagge', email='dbaggelf@studiopress.com', ip='3.148.90.191'}, car=Car{color='#09e3aa', vin='WBAYA6C53FD599274', company='Chevrolet', model='Tracker', model_year='2000', price=72207.02}, localization=Localization{country='Poland', city='Maniowy'}, dateTime=2020-02-12T00:00}
Purchase{id_porzadkowe_zakupu=779, person=Person{imie='Prentiss', nazwisko='Aish', email='paishlm@chronoengine.com', ip='4.15.170.152'}, car=Car{color='#d3845c', vin='YV4952BZ2E1701993', company='Chevrolet', model='Cavalier', model_year='1996', price=72928.0}, localization=Localization{country='Poland', city='Markowa'}, dateTime=2020-02-07T00:00}
Purchase{id_porzadkowe_zakupu=782, person=Person{imie='Kaila', nazwisko='Grimes', email='kgrimeslp@etsy.com', ip='117.134.130.196'}, car=Car{color='#da7b08', vin='2C3CCARGXDH605370', company='Chevrolet', model='Impala', model_year='1996', price=3950.11}, localization=Localization{country='Poland', city='Piła'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=801, person=Person{imie='Danell', nazwisko='Johansson', email='djohanssonm8@linkedin.com', ip='244.165.247.121'}, car=Car{color='#ea29a7', vin='1LNHL9DK7DG525169', company='Chevrolet', model='Camaro', model_year='1999', price=69624.54}, localization=Localization{country='Czech Republic', city='Břeclav'}, dateTime=2020-07-09T00:00}
Purchase{id_porzadkowe_zakupu=807, person=Person{imie='Guy', nazwisko='Yellowlea', email='gyellowleame@sun.com', ip='94.116.159.245'}, car=Car{color='#a8ca5f', vin='WAUEH64B31N946110', company='Chevrolet', model='Corvette', model_year='1992', price=23899.56}, localization=Localization{country='Poland', city='Wrocław'}, dateTime=2020-07-06T00:00}
Purchase{id_porzadkowe_zakupu=826, person=Person{imie='Melodie', nazwisko='Sweetland', email='msweetlandmx@google.com.au', ip='42.222.63.231'}, car=Car{color='#c8675e', vin='3VW467AT2CM696599', company='Chevrolet', model='Metro', model_year='1998', price=87282.09}, localization=Localization{country='Czech Republic', city='Bošovice'}, dateTime=2020-06-12T00:00}
Purchase{id_porzadkowe_zakupu=829, person=Person{imie='Osbourn', nazwisko='Bickerton', email='obickertonn0@storify.com', ip='115.252.66.219'}, car=Car{color='#b6f65c', vin='1C4RDJEG8EC836037', company='Chevrolet', model='Avalanche 1500', model_year='2005', price=50872.19}, localization=Localization{country='Poland', city='Ręczno'}, dateTime=2020-09-24T00:00}
Purchase{id_porzadkowe_zakupu=845, person=Person{imie='Josias', nazwisko='Tidbald', email='jtidbaldng@apache.org', ip='254.243.8.126'}, car=Car{color='#d88fc9', vin='WAUDFAFL8EN511227', company='Chevrolet', model='G-Series G20', model_year='1994', price=69481.3}, localization=Localization{country='Poland', city='Sośnicowice'}, dateTime=2020-02-29T00:00}
Purchase{id_porzadkowe_zakupu=860, person=Person{imie='Tull', nazwisko='Conlaund', email='tconlaundnv@bigcartel.com', ip='250.168.201.88'}, car=Car{color='#3dca1c', vin='WAUJFAFH1CN181751', company='Chevrolet', model='2500', model_year='1999', price=63204.36}, localization=Localization{country='Poland', city='Krzanowice'}, dateTime=2020-07-16T00:00}
Purchase{id_porzadkowe_zakupu=899, person=Person{imie='Emilee', nazwisko='Mainland', email='emainlandoy@opera.com', ip='79.111.208.222'}, car=Car{color='#5afe30', vin='JN8AS5MTXBW467768', company='Chevrolet', model='Caprice', model_year='1995', price=12198.77}, localization=Localization{country='Poland', city='Solec Nad Wisłą'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=915, person=Person{imie='Dominique', nazwisko='Edbrooke', email='dedbrookepe@shinystat.com', ip='72.117.124.89'}, car=Car{color='#7e6e3f', vin='1FMNE1BW8AD691862', company='Chevrolet', model='TrailBlazer', model_year='2003', price=63109.55}, localization=Localization{country='Czech Republic', city='Bohumín'}, dateTime=2020-11-16T00:00}
Purchase{id_porzadkowe_zakupu=925, person=Person{imie='Raimund', nazwisko='Blackburn', email='rblackburnpo@friendfeed.com', ip='33.31.188.227'}, car=Car{color='#776095', vin='JN8AZ1MU0AW797642', company='Chevrolet', model='Suburban 2500', model_year='2008', price=10384.44}, localization=Localization{country='Poland', city='Szczawnica'}, dateTime=2020-02-25T00:00}
Purchase{id_porzadkowe_zakupu=928, person=Person{imie='Hester', nazwisko='O'Lenechan', email='holenechanpr@etsy.com', ip='208.29.140.44'}, car=Car{color='#e10c2b', vin='1D4PT6GX8AW814748', company='Chevrolet', model='Sportvan G30', model_year='1996', price=45593.86}, localization=Localization{country='Poland', city='Sonina'}, dateTime=2020-09-12T00:00}
Purchase{id_porzadkowe_zakupu=930, person=Person{imie='Alejoa', nazwisko='Sanpere', email='asanperept@apache.org', ip='251.168.55.148'}, car=Car{color='#a2f3e3', vin='KL4CJASB5FB830947', company='Chevrolet', model='Express 3500', model_year='1997', price=48368.72}, localization=Localization{country='Germany', city='Wuppertal'}, dateTime=2020-09-29T00:00}
Purchase{id_porzadkowe_zakupu=960, person=Person{imie='Jaquelin', nazwisko='Jzhakov', email='jjzhakovqn@de.vu', ip='16.4.77.174'}, car=Car{color='#7b3bae', vin='1G4GE5G39FF134469', company='Chevrolet', model='Colorado', model_year='2010', price=35879.16}, localization=Localization{country='Poland', city='Trzebinia'}, dateTime=2020-01-18T00:00}
Purchase{id_porzadkowe_zakupu=963, person=Person{imie='Alley', nazwisko='Sex', email='asexqq@japanpost.jp', ip='112.196.26.25'}, car=Car{color='#d76660', vin='1N4AB7AP0DN891280', company='Chevrolet', model='Corvette', model_year='2011', price=7848.14}, localization=Localization{country='Poland', city='Truskolasy'}, dateTime=2020-04-09T00:00}
Purchase{id_porzadkowe_zakupu=977, person=Person{imie='Jobyna', nazwisko='Hadfield', email='jhadfieldr4@spiegel.de', ip='187.130.89.230'}, car=Car{color='#f8bdb5', vin='KNAFX6A85F5800881', company='Chevrolet', model='Cavalier', model_year='1995', price=12888.87}, localization=Localization{country='Poland', city='Czerniejewo'}, dateTime=2020-11-07T00:00}
