Purchase{id_porzadkowe_zakupu=16, person=Person{imie='Wolf', nazwisko='Couroy', email='wcouroyf@dot.gov', ip='204.180.151.24'}, car=Car{color='#87b060', vin='WBAAZ33415K216099', company='Toyota', model='T100 Xtra', model_year='1995', price=83465.1}, localization=Localization{country='Poland', city='Smolec'}, dateTime=2020-05-27T00:00}
Purchase{id_porzadkowe_zakupu=701, person=Person{imie='Tiffany', nazwisko='Chiene', email='tchienejg@hubpages.com', ip='128.192.42.90'}, car=Car{color='#07e6d9', vin='WA1DGAFE8FD270367', company='Toyota', model='Tacoma Xtra', model_year='2003', price=30131.86}, localization=Localization{country='Poland', city='Parczew'}, dateTime=2020-01-12T00:00}
Purchase{id_porzadkowe_zakupu=738, person=Person{imie='Adolphus', nazwisko='Artindale', email='aartindalekh@businesswire.com', ip='43.232.241.99'}, car=Car{color='#912d77', vin='3C63DRJL2CG659266', company='Toyota', model='TundraMax', model_year='2008', price=21198.48}, localization=Localization{country='Poland', city='Piastów'}, dateTime=2020-06-16T00:00}
Purchase{id_porzadkowe_zakupu=764, person=Person{imie='Nealon', nazwisko='Mewhirter', email='nmewhirterl7@amazon.co.jp', ip='102.107.68.203'}, car=Car{color='#72a09a', vin='1ZVBP8JS1A5304443', company='Toyota', model='4Runner', model_year='2002', price=70872.84}, localization=Localization{country='Czech Republic', city='Všeruby'}, dateTime=2020-04-12T00:00}
Purchase{id_porzadkowe_zakupu=769, person=Person{imie='Herby', nazwisko='Kidwell', email='hkidwelllc@prweb.com', ip='147.253.32.231'}, car=Car{color='#b24a81', vin='WBAAV33411F763601', company='Toyota', model='Corolla', model_year='2005', price=74715.53}, localization=Localization{country='Poland', city='Mrągowo'}, dateTime=2020-08-01T00:00}
Purchase{id_porzadkowe_zakupu=774, person=Person{imie='Ninetta', nazwisko='Sole', email='nsolelh@mysql.com', ip='80.93.165.125'}, car=Car{color='#688fdc', vin='1G6AM5SX7E0984774', company='Toyota', model='Sequoia', model_year='2008', price=46742.9}, localization=Localization{country='Poland', city='Brok'}, dateTime=2020-09-29T00:00}
Purchase{id_porzadkowe_zakupu=788, person=Person{imie='Andriana', nazwisko='Ox', email='aoxlv@google.de', ip='114.57.19.190'}, car=Car{color='#91ba46', vin='WDDHF5GB4AA749620', company='Toyota', model='Prius', model_year='2007', price=85887.26}, localization=Localization{country='Czech Republic', city='Horní Bečva'}, dateTime=2020-11-01T00:00}
Purchase{id_porzadkowe_zakupu=794, person=Person{imie='Leena', nazwisko='Davitti', email='ldavittim1@typepad.com', ip='32.214.186.244'}, car=Car{color='#0ea6be', vin='WBAYF8C50ED780859', company='Toyota', model='Prius', model_year='2002', price=64093.23}, localization=Localization{country='Czech Republic', city='Jaroměř'}, dateTime=2020-12-02T00:00}
Purchase{id_porzadkowe_zakupu=799, person=Person{imie='Rayshell', nazwisko='Macklam', email='rmacklamm6@canalblog.com', ip='58.131.18.96'}, car=Car{color='#3efd14', vin='WDDLJ6FB3FA174806', company='Toyota', model='Camry', model_year='2004', price=93120.77}, localization=Localization{country='Poland', city='Kobiernice'}, dateTime=2020-10-10T00:00}
Purchase{id_porzadkowe_zakupu=847, person=Person{imie='Yule', nazwisko='Huggin', email='yhugginni@amazonaws.com', ip='121.73.61.74'}, car=Car{color='#1bb37d', vin='WBALZ5C53CC442908', company='Toyota', model='Tundra', model_year='2004', price=10592.64}, localization=Localization{country='Poland', city='Wałcz'}, dateTime=2020-09-09T00:00}
Purchase{id_porzadkowe_zakupu=909, person=Person{imie='Rheta', nazwisko='Dorber', email='rdorberp8@bing.com', ip='177.162.38.1'}, car=Car{color='#dbb349', vin='5TDBW5G13DS164073', company='Toyota', model='Avalon', model_year='2009', price=61601.91}, localization=Localization{country='Czech Republic', city='Horní Čermná'}, dateTime=2020-03-31T00:00}
Purchase{id_porzadkowe_zakupu=917, person=Person{imie='Catharina', nazwisko='Muzzillo', email='cmuzzillopg@furl.net', ip='118.117.250.220'}, car=Car{color='#eac125', vin='WP0AB2A9XFS778407', company='Toyota', model='Tacoma', model_year='2009', price=82909.59}, localization=Localization{country='Poland', city='Stubno'}, dateTime=2020-05-23T00:00}
Purchase{id_porzadkowe_zakupu=921, person=Person{imie='Janey', nazwisko='Stell', email='jstellpk@shareasale.com', ip='154.3.35.248'}, car=Car{color='#9e3ae4', vin='JTHBK1EG1B2777114', company='Toyota', model='Celica', model_year='1995', price=28857.08}, localization=Localization{country='Czech Republic', city='Staré Město'}, dateTime=2020-09-20T00:00}
Purchase{id_porzadkowe_zakupu=939, person=Person{imie='Reinald', nazwisko='Burroughes', email='rburroughesq2@ycombinator.com', ip='56.91.145.80'}, car=Car{color='#164546', vin='WP0AA2A99FS949005', company='Toyota', model='T100', model_year='1996', price=83019.17}, localization=Localization{country='Poland', city='Miętne'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=988, person=Person{imie='Devon', nazwisko='Hayter', email='dhayterrf@ca.gov', ip='119.16.7.244'}, car=Car{color='#ae4c1c', vin='KNAGM4AD6B5126166', company='Toyota', model='Land Cruiser', model_year='2008', price=44841.2}, localization=Localization{country='Poland', city='Besko'}, dateTime=2020-10-21T00:00}
