Purchase{id_porzadkowe_zakupu=5, person=Person{imie='Gabbi', nazwisko='Hafner', email='ghafner4@icio.us', ip='8.198.1.190'}, car=Car{color='#0d807c', vin='WBAFU9C5XDD400069', company='Mazda', model='B-Series Plus', model_year='2004', price=71988.49}, localization=Localization{country='Poland', city='Gilowice'}, dateTime=2020-12-26T00:00}
Purchase{id_porzadkowe_zakupu=414, person=Person{imie='Luigi', nazwisko='Clemas', email='lclemasbh@bloomberg.com', ip='18.27.132.168'}, car=Car{color='#5ee766', vin='1FTEW1CF7FK123072', company='Mazda', model='Miata MX-5', model_year='2002', price=34512.2}, localization=Localization{country='Poland', city='Dębe Wielkie'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=421, person=Person{imie='Hilario', nazwisko='Zannetti', email='hzannettibo@businessinsider.com', ip='153.214.110.37'}, car=Car{color='#1fc3e2', vin='4T1BF1FK0CU841945', company='Mazda', model='MX-5', model_year='2004', price=41728.54}, localization=Localization{country='Poland', city='Sosnówka'}, dateTime=2020-09-12T00:00}
Purchase{id_porzadkowe_zakupu=434, person=Person{imie='Carol-jean', nazwisko='Mournian', email='cmournianc1@illinois.edu', ip='3.139.242.226'}, car=Car{color='#1099f7', vin='1C4AJWAG7DL939151', company='Mazda', model='MX-6', model_year='1991', price=56681.54}, localization=Localization{country='Poland', city='Pawłowiczki'}, dateTime=2020-05-07T00:00}
Purchase{id_porzadkowe_zakupu=454, person=Person{imie='Garik', nazwisko='Gaw', email='ggawcl@t.co', ip='40.59.42.245'}, car=Car{color='#7cb387', vin='SCFBF04B88G078257', company='Mazda', model='CX-7', model_year='2010', price=21597.37}, localization=Localization{country='Poland', city='Wasilków'}, dateTime=2020-09-30T00:00}
Purchase{id_porzadkowe_zakupu=473, person=Person{imie='Fanchon', nazwisko='Episcopio', email='fepiscopiod4@ocn.ne.jp', ip='161.193.57.28'}, car=Car{color='#909c5c', vin='JH4CL95936C357534', company='Mazda', model='B-Series Plus', model_year='1992', price=97277.5}, localization=Localization{country='Poland', city='Uniejów'}, dateTime=2020-03-04T00:00}
Purchase{id_porzadkowe_zakupu=530, person=Person{imie='Callida', nazwisko='Ertelt', email='certeltep@shutterfly.com', ip='180.123.22.44'}, car=Car{color='#17f1ae', vin='3D7LP2ET8BG985465', company='Mazda', model='B-Series Plus', model_year='2002', price=45897.22}, localization=Localization{country='Poland', city='Janowiec'}, dateTime=2020-04-10T00:00}
Purchase{id_porzadkowe_zakupu=625, person=Person{imie='Bradley', nazwisko='Plomer', email='bplomerhc@gmpg.org', ip='134.131.92.164'}, car=Car{color='#dc7cfb', vin='WBAFR7C59CD430006', company='Mazda', model='RX-8', model_year='2010', price=62387.06}, localization=Localization{country='Poland', city='Gorzów Śląski'}, dateTime=2020-03-04T00:00}
Purchase{id_porzadkowe_zakupu=627, person=Person{imie='Sigvard', nazwisko='Parratt', email='sparratthe@tripod.com', ip='125.92.157.168'}, car=Car{color='#cb6f24', vin='WAUXL68E44A133818', company='Mazda', model='Familia', model_year='1991', price=70021.37}, localization=Localization{country='Czech Republic', city='Petřvald'}, dateTime=2020-09-11T00:00}
Purchase{id_porzadkowe_zakupu=716, person=Person{imie='Tracey', nazwisko='Blethin', email='tblethinjv@redcross.org', ip='90.246.143.171'}, car=Car{color='#775447', vin='WAUMGBFL6AA150245', company='Mazda', model='CX-9', model_year='2010', price=19705.91}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-06-12T00:00}
Purchase{id_porzadkowe_zakupu=747, person=Person{imie='Florella', nazwisko='Leonard', email='fleonardkq@walmart.com', ip='224.124.229.58'}, car=Car{color='#856a31', vin='KMHTC6ADXFU970704', company='Mazda', model='626', model_year='1993', price=71137.72}, localization=Localization{country='Czech Republic', city='Žirovnice'}, dateTime=2020-09-10T00:00}
Purchase{id_porzadkowe_zakupu=755, person=Person{imie='Caryn', nazwisko='Connachan', email='cconnachanky@intel.com', ip='245.123.176.226'}, car=Car{color='#7de7e6', vin='1G6KD57Y38U451081', company='Mazda', model='MPV', model_year='1992', price=89254.0}, localization=Localization{country='Czech Republic', city='Měcholupy'}, dateTime=2020-07-25T00:00}
Purchase{id_porzadkowe_zakupu=815, person=Person{imie='Raven', nazwisko='Keeri', email='rkeerimm@spotify.com', ip='129.185.92.52'}, car=Car{color='#a2296a', vin='WAUNF98P96A924284', company='Mazda', model='MPV', model_year='1993', price=58981.72}, localization=Localization{country='Poland', city='Błaszki'}, dateTime=2020-04-20T00:00}
Purchase{id_porzadkowe_zakupu=834, person=Person{imie='Vaughn', nazwisko='Mayhou', email='vmayhoun5@ftc.gov', ip='156.15.245.84'}, car=Car{color='#f6c8a4', vin='JH4CU2E6XAC652178', company='Mazda', model='Mazdaspeed 3', model_year='2007', price=92331.15}, localization=Localization{country='Czech Republic', city='Kamenný Přívoz'}, dateTime=2020-05-31T00:00}
Purchase{id_porzadkowe_zakupu=838, person=Person{imie='Vikky', nazwisko='Dadson', email='vdadsonn9@ed.gov', ip='119.76.168.70'}, car=Car{color='#1c8431', vin='WA1BY94L38D593572', company='Mazda', model='Familia', model_year='1989', price=83979.53}, localization=Localization{country='Czech Republic', city='Dambořice'}, dateTime=2020-11-12T00:00}
Purchase{id_porzadkowe_zakupu=911, person=Person{imie='Dore', nazwisko='Canaan', email='dcanaanpa@canalblog.com', ip='11.225.244.198'}, car=Car{color='#140149', vin='SAJWA4EC5FM614630', company='Mazda', model='MX-5', model_year='2006', price=13384.3}, localization=Localization{country='Czech Republic', city='Častolovice'}, dateTime=2020-07-31T00:00}
Purchase{id_porzadkowe_zakupu=922, person=Person{imie='Reid', nazwisko='Lettley', email='rlettleypl@friendfeed.com', ip='10.101.198.100'}, car=Car{color='#257e11', vin='3C3CFFBR3ET217714', company='Mazda', model='MX-3', model_year='1995', price=40200.92}, localization=Localization{country='Czech Republic', city='Orlová'}, dateTime=2020-04-01T00:00}
Purchase{id_porzadkowe_zakupu=981, person=Person{imie='Grier', nazwisko='Houseman', email='ghousemanr8@ihg.com', ip='27.133.101.159'}, car=Car{color='#5cdbc3', vin='3D7TP2CT5BG448314', company='Mazda', model='626', model_year='1988', price=27606.0}, localization=Localization{country='Czech Republic', city='Raškovice'}, dateTime=2020-07-01T00:00}
Purchase{id_porzadkowe_zakupu=998, person=Person{imie='Louis', nazwisko='Leary', email='llearyrp@imdb.com', ip='52.131.214.105'}, car=Car{color='#0ab4b7', vin='1N6AD0CU7EN307356', company='Mazda', model='Tribute', model_year='2010', price=8031.83}, localization=Localization{country='Poland', city='Nowe Miasto'}, dateTime=2020-04-25T00:00}
