Purchase{id_porzadkowe_zakupu=76, person=Person{imie='Ben', nazwisko='Yarwood', email='byarwood23@creativecommons.org', ip='118.169.87.59'}, car=Car{color='#ff6af6', vin='WBA6B4C59DD511334', company='Nissan', model='300ZX', model_year='1991', price=12845.04}, localization=Localization{country='Poland', city='Borzęcin'}, dateTime=2020-10-02T00:00}
Purchase{id_porzadkowe_zakupu=538, person=Person{imie='Jereme', nazwisko='Heyward', email='jheywardex@hao123.com', ip='200.177.128.150'}, car=Car{color='#8378c9', vin='3G5DA03L57S121587', company='Nissan', model='Altima', model_year='2002', price=97208.51}, localization=Localization{country='Czech Republic', city='Dolní Studénky'}, dateTime=2020-05-02T00:00}
Purchase{id_porzadkowe_zakupu=541, person=Person{imie='Deborah', nazwisko='Chessun', email='dchessunf0@shinystat.com', ip='68.208.158.151'}, car=Car{color='#8f9dba', vin='1G4HC5EM3BU002416', company='Nissan', model='Datsun/Nissan Z-car', model_year='1990', price=65142.23}, localization=Localization{country='Poland', city='Psary'}, dateTime=2020-05-27T00:00}
Purchase{id_porzadkowe_zakupu=544, person=Person{imie='Rawley', nazwisko='Fryman', email='rfrymanf3@edublogs.org', ip='247.204.75.243'}, car=Car{color='#4b9010', vin='WDDUG7GB5FA114193', company='Nissan', model='Maxima', model_year='1995', price=55147.67}, localization=Localization{country='Poland', city='Sokolniki'}, dateTime=2020-07-26T00:00}
Purchase{id_porzadkowe_zakupu=574, person=Person{imie='Alessandra', nazwisko='Cloke', email='aclokefx@slashdot.org', ip='212.223.187.227'}, car=Car{color='#48e196', vin='5XXGM4A75EG929645', company='Nissan', model='Altima', model_year='2000', price=55524.45}, localization=Localization{country='Poland', city='Rudziczka'}, dateTime=2020-01-09T00:00}
Purchase{id_porzadkowe_zakupu=580, person=Person{imie='Ulrika', nazwisko='Wroughton', email='uwroughtong3@tuttocitta.it', ip='141.163.147.147'}, car=Car{color='#ce965e', vin='WAUMR44E66N492420', company='Nissan', model='200SX', model_year='1998', price=41834.99}, localization=Localization{country='Czech Republic', city='Okrouhlice'}, dateTime=2020-06-06T00:00}
Purchase{id_porzadkowe_zakupu=616, person=Person{imie='Early', nazwisko='Fury', email='efuryh3@adobe.com', ip='160.189.87.14'}, car=Car{color='#9b18ac', vin='WBA4A7C58FG184938', company='Nissan', model='Pathfinder Armada', model_year='2004', price=96775.2}, localization=Localization{country='Poland', city='Mosty'}, dateTime=2020-02-24T00:00}
Purchase{id_porzadkowe_zakupu=621, person=Person{imie='Nolana', nazwisko='Semonin', email='nsemoninh8@scribd.com', ip='171.134.28.14'}, car=Car{color='#2287d9', vin='1G6DC8EY1B0437632', company='Nissan', model='Titan', model_year='2007', price=41050.28}, localization=Localization{country='Poland', city='Skrzydlna'}, dateTime=2020-12-08T00:00}
Purchase{id_porzadkowe_zakupu=624, person=Person{imie='Danica', nazwisko='Herion', email='dherionhb@google.es', ip='237.229.127.126'}, car=Car{color='#c92c1b', vin='WAUAF78E48A769308', company='Nissan', model='Pathfinder', model_year='1998', price=60327.03}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-11-14T00:00}
Purchase{id_porzadkowe_zakupu=714, person=Person{imie='Alexandra', nazwisko='Whitehorne', email='awhitehornejt@bravesites.com', ip='37.60.232.254'}, car=Car{color='#7a2163', vin='WAUDK78T28A918435', company='Nissan', model='Quest', model_year='2012', price=4025.41}, localization=Localization{country='Poland', city='Wilkowice'}, dateTime=2020-06-30T00:00}
Purchase{id_porzadkowe_zakupu=751, person=Person{imie='Georgina', nazwisko='Darth', email='gdarthku@amazon.com', ip='39.214.180.208'}, car=Car{color='#6b88b1', vin='4T1BF1FK7EU562107', company='Nissan', model='Datsun/Nissan Z-car', model_year='1990', price=88329.1}, localization=Localization{country='Poland', city='Piekoszów'}, dateTime=2020-02-08T00:00}
Purchase{id_porzadkowe_zakupu=778, person=Person{imie='Tarra', nazwisko='Lenglet', email='tlengletll@cbc.ca', ip='19.250.195.211'}, car=Car{color='#8dfad5', vin='KMHCT4AE5EU157928', company='Nissan', model='Altima', model_year='1997', price=37540.55}, localization=Localization{country='Czech Republic', city='Lučina'}, dateTime=2020-01-31T00:00}
Purchase{id_porzadkowe_zakupu=816, person=Person{imie='Rickie', nazwisko='Cassey', email='rcasseymn@smh.com.au', ip='96.24.231.41'}, car=Car{color='#99f60c', vin='2CTALMEC2B6053108', company='Nissan', model='300ZX', model_year='1995', price=84230.04}, localization=Localization{country='Czech Republic', city='Zásmuky'}, dateTime=2020-08-23T00:00}
Purchase{id_porzadkowe_zakupu=835, person=Person{imie='Helaina', nazwisko='Pinkie', email='hpinkien6@rediff.com', ip='189.225.239.64'}, car=Car{color='#6ac869', vin='1FTWW3A5XAE602524', company='Nissan', model='Pathfinder', model_year='2009', price=96390.02}, localization=Localization{country='Poland', city='Moryń'}, dateTime=2020-01-14T00:00}
Purchase{id_porzadkowe_zakupu=852, person=Person{imie='Cesare', nazwisko='Loyndon', email='cloyndonnn@vimeo.com', ip='38.50.54.89'}, car=Car{color='#f06683', vin='WAUAGAFD1EN016425', company='Nissan', model='Pathfinder', model_year='2001', price=25406.17}, localization=Localization{country='Czech Republic', city='České Meziříčí'}, dateTime=2020-03-05T00:00}
Purchase{id_porzadkowe_zakupu=887, person=Person{imie='Grissel', nazwisko='Rudall', email='grudallom@java.com', ip='31.136.221.217'}, car=Car{color='#052a83', vin='3VW467ATXCM868684', company='Nissan', model='350Z', model_year='2003', price=39853.04}, localization=Localization{country='Poland', city='Gostyń'}, dateTime=2020-02-21T00:00}
Purchase{id_porzadkowe_zakupu=893, person=Person{imie='Arlinda', nazwisko='Pitkeathly', email='apitkeathlyos@forbes.com', ip='177.233.232.169'}, car=Car{color='#355fad', vin='1GD422CGXEF710085', company='Nissan', model='Altima', model_year='2007', price=45725.23}, localization=Localization{country='Germany', city='Heilbronn'}, dateTime=2020-08-03T00:00}
Purchase{id_porzadkowe_zakupu=920, person=Person{imie='Joelynn', nazwisko='Crellin', email='jcrellinpj@amazon.de', ip='42.196.103.227'}, car=Car{color='#9bcf64', vin='SCFEFBBC1AG391287', company='Nissan', model='Frontier', model_year='1998', price=20489.68}, localization=Localization{country='Czech Republic', city='Chrast'}, dateTime=2020-07-06T00:00}
Purchase{id_porzadkowe_zakupu=932, person=Person{imie='Woodman', nazwisko='Hallt', email='whalltpv@cargocollective.com', ip='23.206.149.175'}, car=Car{color='#045ec0', vin='SCFAB01A27G820797', company='Nissan', model='Quest', model_year='2005', price=39077.6}, localization=Localization{country='Poland', city='Bardo'}, dateTime=2020-02-14T00:00}
Purchase{id_porzadkowe_zakupu=948, person=Person{imie='Ferrel', nazwisko='Eastmead', email='feastmeadqb@statcounter.com', ip='197.196.86.29'}, car=Car{color='#25425d', vin='3N1AB6AP7CL224826', company='Nissan', model='Sentra', model_year='1993', price=85674.67}, localization=Localization{country='Poland', city='Grzmiąca'}, dateTime=2020-06-28T00:00}
Purchase{id_porzadkowe_zakupu=971, person=Person{imie='Vivianne', nazwisko='Boscher', email='vboscherqy@nationalgeographic.com', ip='186.167.165.72'}, car=Car{color='#15e946', vin='WA1LKBFP8AA191325', company='Nissan', model='Altima', model_year='2002', price=97803.65}, localization=Localization{country='Poland', city='Knurów'}, dateTime=2020-05-07T00:00}
Purchase{id_porzadkowe_zakupu=976, person=Person{imie='Brooke', nazwisko='Ary', email='baryr3@rambler.ru', ip='177.126.58.141'}, car=Car{color='#a68aa5', vin='3C4PDDAG6ET999823', company='Nissan', model='GT-R', model_year='2011', price=3222.64}, localization=Localization{country='Poland', city='Janowice'}, dateTime=2020-06-05T00:00}
Purchase{id_porzadkowe_zakupu=978, person=Person{imie='Alia', nazwisko='Bench', email='abenchr5@linkedin.com', ip='253.54.252.141'}, car=Car{color='#fb903e', vin='WBANA53515B514097', company='Nissan', model='Pathfinder', model_year='2012', price=36887.35}, localization=Localization{country='Czech Republic', city='Moravská Třebová'}, dateTime=2020-01-01T00:00}
Purchase{id_porzadkowe_zakupu=985, person=Person{imie='Neile', nazwisko='Dany', email='ndanyrc@dion.ne.jp', ip='37.212.164.245'}, car=Car{color='#9a0f16', vin='1G6KF57973U932155', company='Nissan', model='Xterra', model_year='2006', price=7004.45}, localization=Localization{country='Poland', city='Jawor'}, dateTime=2020-12-17T00:00}
