Purchase{id_porzadkowe_zakupu=29, person=Person{imie='Sacha', nazwisko='Lamport', email='slamports@psu.edu', ip='134.108.190.141'}, car=Car{color='#cc8cd1', vin='YV1952AS8D1054810', company='Pontiac', model='Solstice', model_year='2006', price=20647.67}, localization=Localization{country='Czech Republic', city='Vidče'}, dateTime=2020-05-14T00:00}
Purchase{id_porzadkowe_zakupu=564, person=Person{imie='Paten', nazwisko='Daws', email='pdawsfn@xing.com', ip='214.18.241.80'}, car=Car{color='#acf264', vin='JA4AP3AUXBZ849001', company='Pontiac', model='Grand Prix', model_year='1990', price=51170.69}, localization=Localization{country='Poland', city='Ursus'}, dateTime=2020-12-09T00:00}
Purchase{id_porzadkowe_zakupu=602, person=Person{imie='Merrill', nazwisko='Ault', email='maultgp@pagesperso-orange.fr', ip='52.158.43.233'}, car=Car{color='#17f924', vin='3VWC17AU5FM660946', company='Pontiac', model='LeMans', model_year='1990', price=81005.8}, localization=Localization{country='Poland', city='Czerwonak'}, dateTime=2020-11-29T00:00}
Purchase{id_porzadkowe_zakupu=623, person=Person{imie='Berny', nazwisko='Moreno', email='bmorenoha@google.com', ip='212.238.28.154'}, car=Car{color='#ec0915', vin='JN8AE2KP6E9204806', company='Pontiac', model='Grand Prix', model_year='1974', price=75406.97}, localization=Localization{country='Poland', city='Mosina'}, dateTime=2020-05-29T00:00}
Purchase{id_porzadkowe_zakupu=689, person=Person{imie='Kimble', nazwisko='Tomsu', email='ktomsuj4@google.it', ip='18.238.212.102'}, car=Car{color='#1db3dc', vin='1G6D05EG8A0239109', company='Pontiac', model='Fiero', model_year='1984', price=8202.1}, localization=Localization{country='Poland', city='Mirzec'}, dateTime=2020-03-24T00:00}
Purchase{id_porzadkowe_zakupu=721, person=Person{imie='Josefina', nazwisko='Minto', email='jmintok0@altervista.org', ip='37.169.220.58'}, car=Car{color='#c27af5', vin='2B3CK4CV8AH592607', company='Pontiac', model='G6', model_year='2007', price=44112.55}, localization=Localization{country='Poland', city='Drzewica'}, dateTime=2020-10-31T00:00}
Purchase{id_porzadkowe_zakupu=737, person=Person{imie='Port', nazwisko='Dennington', email='pdenningtonkg@trellian.com', ip='239.195.141.98'}, car=Car{color='#0dd7dd', vin='2C3CCAAG5EH125508', company='Pontiac', model='Grand Prix', model_year='1966', price=9921.56}, localization=Localization{country='Poland', city='Zbąszyń'}, dateTime=2020-06-28T00:00}
Purchase{id_porzadkowe_zakupu=760, person=Person{imie='Tony', nazwisko='Jiran', email='tjiranl3@admin.ch', ip='101.27.81.161'}, car=Car{color='#63533e', vin='WAUFFAFL1FA834942', company='Pontiac', model='GTO', model_year='1972', price=86303.79}, localization=Localization{country='Slovakia', city='Bratislava'}, dateTime=2020-04-15T00:00}
Purchase{id_porzadkowe_zakupu=783, person=Person{imie='Pete', nazwisko='Vala', email='pvalalq@reference.com', ip='158.119.73.26'}, car=Car{color='#016608', vin='WAUDG94F36N580871', company='Pontiac', model='Vibe', model_year='2010', price=13702.26}, localization=Localization{country='Czech Republic', city='Kunčice pod Ondřejníkem'}, dateTime=2020-01-02T00:00}
Purchase{id_porzadkowe_zakupu=793, person=Person{imie='Lula', nazwisko='Langthorne', email='llangthornem0@sciencedaily.com', ip='70.18.129.64'}, car=Car{color='#d20bc0', vin='JA32U2FU0EU192151', company='Pontiac', model='Grand Am', model_year='2000', price=31178.86}, localization=Localization{country='Czech Republic', city='Vyškov'}, dateTime=2020-07-18T00:00}
Purchase{id_porzadkowe_zakupu=800, person=Person{imie='Leicester', nazwisko='Taberer', email='ltabererm7@harvard.edu', ip='113.225.210.40'}, car=Car{color='#0f485f', vin='1G6DB1EDXB0637366', company='Pontiac', model='G6', model_year='2008', price=36745.87}, localization=Localization{country='Poland', city='Mirzec'}, dateTime=2020-11-09T00:00}
Purchase{id_porzadkowe_zakupu=830, person=Person{imie='Alfons', nazwisko='Dine-Hart', email='adinehartn1@yelp.com', ip='124.100.164.80'}, car=Car{color='#a8095d', vin='SAJWA6BC3F8490138', company='Pontiac', model='Trans Sport', model_year='1993', price=305.73}, localization=Localization{country='Poland', city='Czemierniki'}, dateTime=2020-11-04T00:00}
Purchase{id_porzadkowe_zakupu=858, person=Person{imie='Gay', nazwisko='Tait', email='gtaitnt@devhub.com', ip='234.234.185.41'}, car=Car{color='#e6a7ea', vin='WBAUN1C57CV917716', company='Pontiac', model='LeMans', model_year='1966', price=88280.13}, localization=Localization{country='Poland', city='Ostroróg'}, dateTime=2020-08-28T00:00}
Purchase{id_porzadkowe_zakupu=898, person=Person{imie='Cosette', nazwisko='Mead', email='cmeadox@indiatimes.com', ip='199.65.212.112'}, car=Car{color='#190d96', vin='1GYS4GEF4BR314990', company='Pontiac', model='G5', model_year='2009', price=453.87}, localization=Localization{country='Poland', city='Wiślica'}, dateTime=2020-02-28T00:00}
Purchase{id_porzadkowe_zakupu=904, person=Person{imie='Marty', nazwisko='Sambath', email='msambathp3@taobao.com', ip='153.53.186.40'}, car=Car{color='#9c3f17', vin='1GYS4HEF8CR671595', company='Pontiac', model='Firebird', model_year='1984', price=98532.02}, localization=Localization{country='Poland', city='Parczew'}, dateTime=2020-12-10T00:00}
Purchase{id_porzadkowe_zakupu=935, person=Person{imie='Bram', nazwisko='Lanfranchi', email='blanfranchipy@goo.ne.jp', ip='230.36.180.14'}, car=Car{color='#6edf42', vin='3VW467AT6DM667835', company='Pontiac', model='Vibe', model_year='2006', price=76578.31}, localization=Localization{country='Poland', city='Nysa'}, dateTime=2020-02-10T00:00}
Purchase{id_porzadkowe_zakupu=947, person=Person{imie='Basilio', nazwisko='Patise', email='bpatiseqa@webnode.com', ip='43.59.160.162'}, car=Car{color='#b4e05c', vin='WBAAV534X1J077968', company='Pontiac', model='Montana', model_year='2006', price=49063.18}, localization=Localization{country='Poland', city='Bobolice'}, dateTime=2020-02-27T00:00}
Purchase{id_porzadkowe_zakupu=984, person=Person{imie='Ashleigh', nazwisko='Stolte', email='astolterb@telegraph.co.uk', ip='2.72.157.148'}, car=Car{color='#64d3ea', vin='JN1AZ4EH0BM689522', company='Pontiac', model='LeMans', model_year='1990', price=65315.34}, localization=Localization{country='Czech Republic', city='Lučina'}, dateTime=2020-10-02T00:00}
