Purchase{id_porzadkowe_zakupu=32, person=Person{imie='Cello', nazwisko='Carroll', email='ccarrollv@spotify.com', ip='213.92.152.33'}, car=Car{color='#e24e3a', vin='JN8AZ1MU6CW935297', company='Mitsubishi', model='Truck', model_year='1987', price=67651.11}, localization=Localization{country='Poland', city='Oborniki Śląskie'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=354, person=Person{imie='Vi', nazwisko='Ogilvie', email='vogilvie9t@yandex.ru', ip='83.96.144.114'}, car=Car{color='#1e6d7e', vin='3VW507AT2FM463610', company='Mitsubishi', model='GTO', model_year='1999', price=82712.62}, localization=Localization{country='Poland', city='Przelewice'}, dateTime=2020-09-09T00:00}
Purchase{id_porzadkowe_zakupu=442, person=Person{imie='Damien', nazwisko='Hingeley', email='dhingeleyc9@tumblr.com', ip='115.218.94.51'}, car=Car{color='#6c64f1', vin='WAULT58E55A309706', company='Mitsubishi', model='Mirage', model_year='1990', price=75669.99}, localization=Localization{country='Poland', city='Jonkowo'}, dateTime=2020-05-09T00:00}
Purchase{id_porzadkowe_zakupu=461, person=Person{imie='Lenora', nazwisko='Dymick', email='ldymickcs@businesswire.com', ip='162.204.7.157'}, car=Car{color='#0d386e', vin='1FTSX2B58AE390940', company='Mitsubishi', model='Eclipse', model_year='2008', price=60875.66}, localization=Localization{country='Poland', city='Wodzierady'}, dateTime=2020-06-20T00:00}
Purchase{id_porzadkowe_zakupu=474, person=Person{imie='Jack', nazwisko='Wetherell', email='jwetherelld5@so-net.ne.jp', ip='182.74.238.120'}, car=Car{color='#500e59', vin='WAU3FAFR3AA975656', company='Mitsubishi', model='Truck', model_year='1995', price=16530.55}, localization=Localization{country='Czech Republic', city='Karolinka'}, dateTime=2020-10-23T00:00}
Purchase{id_porzadkowe_zakupu=484, person=Person{imie='Maynard', nazwisko='Rabson', email='mrabsondf@e-recht24.de', ip='217.148.1.146'}, car=Car{color='#d4d13a', vin='SCFEBBDL8EG492602', company='Mitsubishi', model='Expo', model_year='1993', price=44918.65}, localization=Localization{country='Poland', city='Miasteczko Śląskie'}, dateTime=2020-10-14T00:00}
Purchase{id_porzadkowe_zakupu=496, person=Person{imie='Engracia', nazwisko='McConigal', email='emcconigaldr@economist.com', ip='192.221.245.52'}, car=Car{color='#3ab50c', vin='KMHTC6AD1DU270115', company='Mitsubishi', model='Lancer Evolution', model_year='2005', price=47392.84}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-11-04T00:00}
Purchase{id_porzadkowe_zakupu=501, person=Person{imie='Haven', nazwisko='Leafe', email='hleafedw@livejournal.com', ip='9.135.206.218'}, car=Car{color='#db5bc9', vin='WAUBNBFB4AN689797', company='Mitsubishi', model='Starion', model_year='1987', price=90774.68}, localization=Localization{country='Poland', city='Oborniki Śląskie'}, dateTime=2020-07-19T00:00}
Purchase{id_porzadkowe_zakupu=518, person=Person{imie='Ronnie', nazwisko='Reville', email='rrevilleed@e-recht24.de', ip='71.195.74.151'}, car=Car{color='#98fd16', vin='WAUEH78E17A803568', company='Mitsubishi', model='Raider', model_year='2006', price=30250.68}, localization=Localization{country='Czech Republic', city='Uherský Ostroh'}, dateTime=2020-04-27T00:00}
Purchase{id_porzadkowe_zakupu=529, person=Person{imie='Inge', nazwisko='Gummary', email='igummaryeo@github.com', ip='171.26.33.125'}, car=Car{color='#740f37', vin='JA32X2HU2BU735127', company='Mitsubishi', model='Truck', model_year='1996', price=23585.47}, localization=Localization{country='Czech Republic', city='Dolní Lhota'}, dateTime=2020-05-07T00:00}
Purchase{id_porzadkowe_zakupu=532, person=Person{imie='Graehme', nazwisko='Trow', email='gtrower@ehow.com', ip='76.126.31.158'}, car=Car{color='#bee854', vin='1G6DL8ED0B0041804', company='Mitsubishi', model='Eclipse', model_year='1995', price=12423.75}, localization=Localization{country='Poland', city='Strzelin'}, dateTime=2020-05-13T00:00}
Purchase{id_porzadkowe_zakupu=540, person=Person{imie='Mignonne', nazwisko='Duberry', email='mduberryez@cbc.ca', ip='207.251.252.74'}, car=Car{color='#d2bbab', vin='5N1AA0NCXEN690091', company='Mitsubishi', model='Endeavor', model_year='2010', price=75776.61}, localization=Localization{country='Poland', city='Ochla'}, dateTime=2020-04-05T00:00}
Purchase{id_porzadkowe_zakupu=578, person=Person{imie='Bianka', nazwisko='Dunford', email='bdunfordg1@is.gd', ip='252.215.226.204'}, car=Car{color='#f715db', vin='WAUKH94F07N082312', company='Mitsubishi', model='Mirage', model_year='1993', price=23504.15}, localization=Localization{country='Poland', city='Lubasz'}, dateTime=2020-02-09T00:00}
Purchase{id_porzadkowe_zakupu=626, person=Person{imie='Gale', nazwisko='Cardon', email='gcardonhd@yolasite.com', ip='150.169.159.29'}, car=Car{color='#48db76', vin='WAUNF78P76A958955', company='Mitsubishi', model='Raider', model_year='2008', price=19402.45}, localization=Localization{country='Poland', city='Tarłów'}, dateTime=2020-07-28T00:00}
Purchase{id_porzadkowe_zakupu=629, person=Person{imie='Elston', nazwisko='Perrygo', email='eperrygohg@homestead.com', ip='53.191.167.97'}, car=Car{color='#1568a9', vin='1G6AM5S31F0988575', company='Mitsubishi', model='Starion', model_year='1984', price=55346.91}, localization=Localization{country='Poland', city='Widuchowa'}, dateTime=2020-05-01T00:00}
Purchase{id_porzadkowe_zakupu=644, person=Person{imie='Essa', nazwisko='Pamphilon', email='epamphilonhv@mysql.com', ip='45.140.26.241'}, car=Car{color='#289ccc', vin='WBACN53481L549243', company='Mitsubishi', model='Pajero', model_year='2005', price=78651.13}, localization=Localization{country='Poland', city='Lubasz'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=650, person=Person{imie='Sherm', nazwisko='Prevett', email='sprevetti1@nature.com', ip='242.155.58.172'}, car=Car{color='#97bc5c', vin='JN1AJ0HP7AM004952', company='Mitsubishi', model='Pajero', model_year='1988', price=88876.44}, localization=Localization{country='Poland', city='Bodzechów'}, dateTime=2020-11-25T00:00}
Purchase{id_porzadkowe_zakupu=662, person=Person{imie='Valentia', nazwisko='Culkin', email='vculkinid@barnesandnoble.com', ip='186.188.69.253'}, car=Car{color='#edce01', vin='3D73Y3CL1AG102536', company='Mitsubishi', model='Montero Sport', model_year='2003', price=10997.24}, localization=Localization{country='Poland', city='Czerniewice'}, dateTime=2020-11-13T00:00}
Purchase{id_porzadkowe_zakupu=687, person=Person{imie='Nicoli', nazwisko='Traves', email='ntravesj2@pbs.org', ip='23.11.209.173'}, car=Car{color='#52460c', vin='3VW507AT9EM432711', company='Mitsubishi', model='Pajero', model_year='1993', price=87775.12}, localization=Localization{country='Poland', city='Namysłów'}, dateTime=2020-09-13T00:00}
Purchase{id_porzadkowe_zakupu=691, person=Person{imie='Carling', nazwisko='Wyke', email='cwykej6@seattletimes.com', ip='170.139.150.129'}, car=Car{color='#50cd80', vin='WAUKFAFL9DN682154', company='Mitsubishi', model='GTO', model_year='1995', price=5804.8}, localization=Localization{country='Poland', city='Żernica'}, dateTime=2020-08-20T00:00}
Purchase{id_porzadkowe_zakupu=695, person=Person{imie='Aleda', nazwisko='Muirhead', email='amuirheadja@bloomberg.com', ip='35.247.64.104'}, car=Car{color='#b478e4', vin='KM8JT3AB3DU734364', company='Mitsubishi', model='Lancer', model_year='2004', price=25092.29}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-10-14T00:00}
Purchase{id_porzadkowe_zakupu=736, person=Person{imie='Bryan', nazwisko='Thiolier', email='bthiolierkf@delicious.com', ip='183.200.133.169'}, car=Car{color='#e3825f', vin='WBA3N9C54EK059510', company='Mitsubishi', model='Pajero', model_year='2002', price=40611.47}, localization=Localization{country='Czech Republic', city='Bílovec'}, dateTime=2020-02-18T00:00}
Purchase{id_porzadkowe_zakupu=810, person=Person{imie='Cathrine', nazwisko='Baysting', email='cbaystingmh@slashdot.org', ip='127.42.205.62'}, car=Car{color='#555fa6', vin='1FTWW3DY2AE410486', company='Mitsubishi', model='GTO', model_year='1997', price=54508.4}, localization=Localization{country='Poland', city='Izbicko'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=814, person=Person{imie='Adria', nazwisko='Kmiec', email='akmiecml@forbes.com', ip='108.75.144.161'}, car=Car{color='#af68ea', vin='KMHCM3AC0BU954573', company='Mitsubishi', model='Lancer Evolution', model_year='2011', price=48174.13}, localization=Localization{country='Poland', city='Mirów'}, dateTime=2020-07-31T00:00}
Purchase{id_porzadkowe_zakupu=823, person=Person{imie='Iona', nazwisko='Hurdidge', email='ihurdidgemu@craigslist.org', ip='5.11.204.5'}, car=Car{color='#fd1967', vin='JTHBC1KS7B5733378', company='Mitsubishi', model='Challenger', model_year='1999', price=24182.93}, localization=Localization{country='Poland', city='Latowicz'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=856, person=Person{imie='Neddy', nazwisko='Danihelka', email='ndanihelkanr@cmu.edu', ip='210.3.20.110'}, car=Car{color='#a95560', vin='1FTEX1CM0CF350961', company='Mitsubishi', model='Truck', model_year='1992', price=26599.44}, localization=Localization{country='Poland', city='Wilkowice'}, dateTime=2020-08-06T00:00}
Purchase{id_porzadkowe_zakupu=880, person=Person{imie='Morlee', nazwisko='Blacklawe', email='mblacklaweof@domainmarket.com', ip='251.250.227.153'}, car=Car{color='#7a1d81', vin='2HNYD28267H388036', company='Mitsubishi', model='Endeavor', model_year='2009', price=4000.68}, localization=Localization{country='Czech Republic', city='Sezemice'}, dateTime=2020-12-12T00:00}
Purchase{id_porzadkowe_zakupu=895, person=Person{imie='Barnett', nazwisko='Britcher', email='bbritcherou@blog.com', ip='43.219.219.175'}, car=Car{color='#33d7a0', vin='1GYS4HEF4CR449006', company='Mitsubishi', model='Starion', model_year='1984', price=73629.88}, localization=Localization{country='Poland', city='Żarki-Letnisko'}, dateTime=2020-12-07T00:00}
Purchase{id_porzadkowe_zakupu=927, person=Person{imie='Kareem', nazwisko='Rheam', email='krheampq@unblog.fr', ip='239.86.70.84'}, car=Car{color='#755613', vin='WBA6B8C58FD828998', company='Mitsubishi', model='Eclipse', model_year='1999', price=86159.35}, localization=Localization{country='Poland', city='Wysoka'}, dateTime=2020-09-10T00:00}
Purchase{id_porzadkowe_zakupu=936, person=Person{imie='Paxton', nazwisko='Romme', email='prommepz@arstechnica.com', ip='57.101.216.153'}, car=Car{color='#4dbe83', vin='1FBNE3BL4BD056729', company='Mitsubishi', model='Pajero', model_year='1988', price=42986.39}, localization=Localization{country='Poland', city='Obryte'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=983, person=Person{imie='Andrus', nazwisko='Sutterby', email='asutterbyra@godaddy.com', ip='160.244.236.27'}, car=Car{color='#b422c6', vin='1FTWX3D57AE721169', company='Mitsubishi', model='Mirage', model_year='1988', price=88972.98}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-12-21T00:00}
Purchase{id_porzadkowe_zakupu=997, person=Person{imie='Angy', nazwisko='Tait', email='ataitro@ustream.tv', ip='158.170.176.89'}, car=Car{color='#3a4344', vin='5GAKRAED6CJ976705', company='Mitsubishi', model='Montero', model_year='1999', price=14036.44}, localization=Localization{country='Poland', city='Mosina'}, dateTime=2020-06-01T00:00}
